"requested","gbif_acceptedName","gbif_taxonKey","matchType"
"Bombus terrestris","Bombus terrestris (Linnaeus, 1758)","1340503","EXACT"
"Bombus lucorum","Bombus lucorum (Linnaeus, 1761)","1340298","EXACT"
"Bombus lapidarius","Bombus lapidarius (Linnaeus, 1758)","1340301","EXACT"
"Bombus pascuorum","Bombus pascuorum (Scopoli, 1763)","1340405","EXACT"
"Bombus hortorum","Bombus hortorum (Linnaeus, 1761)","1340542","EXACT"
"Bombus pratorum","Bombus pratorum (Linnaeus, 1761)","1340305","EXACT"
"Bombus hypnorum","Bombus hypnorum (Linnaeus, 1758)","1340513","EXACT"
"Bombus sylvarum","Bombus sylvarum (Linnaeus, 1761)","1340342","EXACT"
"Bombus humilis","Bombus humilis Illiger, 1806","1340523","EXACT"
"Bombus ruderarius","Bombus ruderarius (Müller, 1776)","1340394","EXACT"
"Osmia bicornis","Osmia bicornis (Linnaeus, 1758)","5039315","EXACT"
"Osmia cornuta","Osmia cornuta (Latreille, 1805)","5039293","EXACT"
"Osmia caerulescens","Osmia caerulescens (Linnaeus, 1758)","5039096","EXACT"
"Megachile willughbiella","Megachile willughbiella (Kirby, 1802)","1335556","EXACT"
"Anthidium manicatum","Anthidium manicatum (Linnaeus, 1758)","1334821","EXACT"
"Chelostoma florisomne","Chelostoma florisomne (Linnaeus, 1758)","1334527","EXACT"
"Andrena flavipes","Andrena flavipes Panzer, 1799","1357156","EXACT"
"Andrena haemorrhoa","Andrena haemorrhoa (Fabricius, 1781)","1356981","EXACT"
"Andrena cineraria","Andrena cineraria (Linnaeus, 1758)","1358088","EXACT"
"Andrena fulva","Andrena fulva (Müller, 1766)","9805254","EXACT"
"Halictus scabiosae","Halictus scabiosae (Rossi, 1790)","1353395","EXACT"
"Lasioglossum calceatum","Lasioglossum calceatum (Scopoli, 1763)","1354476","EXACT"
"Anthophora plumipes","Anthophora plumipes (Pallas, 1772)","1344087","EXACT"
"Xylocopa violacea","Xylocopa violacea (Linnaeus, 1758)","1342108","EXACT"
"Colletes daviesanus","Colletes daviesanus Smith, 1846","1348620","EXACT"
"Eucera longicornis","Eucera longicornis (Linnaeus, 1758)","1340884","EXACT"
