"Species","Longitude","Latitude"
"Andrena cineraria",8.581646,47.321622
"Andrena cineraria",7.337841,47.364643
"Andrena cineraria",7.283753,46.744153
"Andrena cineraria",8.560167,47.359379
"Andrena cineraria",6.948361,47.003094
"Andrena cineraria",7.032042,46.832447
"Andrena cineraria",9.061376,46.76954
"Andrena cineraria",7.433782,46.939403
"Andrena cineraria",7.6241,47.194536
"Andrena cineraria",6.124075,46.223847
"Andrena cineraria",8.415892,47.300348
"Andrena cineraria",8.714757,47.34721
"Andrena cineraria",7.406327,46.963397
"Andrena cineraria",9.231082,47.201853
"Andrena cineraria",6.536258,46.507922
"Andrena cineraria",7.111764,46.794901
"Andrena cineraria",8.065802,47.383458
"Andrena cineraria",7.663487,47.583047
"Andrena cineraria",7.790042,46.685247
"Andrena cineraria",6.57733,46.543472
"Andrena cineraria",9.035084,47.598629
"Andrena cineraria",6.641267,46.577935
"Andrena cineraria",7.892978,47.328544
"Andrena cineraria",6.138694,46.184417
"Andrena cineraria",8.179937,47.380013
"Andrena cineraria",8.541054,47.408587
"Andrena cineraria",8.423097,47.243586
"Andrena cineraria",7.912147,46.571895
"Andrena cineraria",7.697062,47.205152
"Andrena cineraria",8.421232,47.459459
"Andrena cineraria",7.89218,47.35506
"Andrena cineraria",8.779492,46.690083
"Andrena cineraria",8.25111,46.38596
"Andrena cineraria",6.94375,47.19738
"Andrena cineraria",8.66647,47.50674
"Andrena cineraria",7.5376,47.1984
"Andrena cineraria",8.97103,46.55846
"Andrena cineraria",7.60373,47.2433
"Andrena cineraria",7.07754,46.92802
"Andrena cineraria",8.3264,47.01512
"Andrena cineraria",8.99299,47.3229
"Andrena cineraria",8.53006,47.32821
"Andrena cineraria",6.88059,46.92723
"Andrena cineraria",7.14195,47.15308
"Andrena cineraria",7.80246,47.33279
"Andrena cineraria",8.59717,47.37253
"Andrena cineraria",6.49147,46.65479
"Andrena cineraria",9.20176,47.63476
"Andrena cineraria",8.20127,47.46577
"Andrena cineraria",8.83715,46.42523
"Andrena cineraria",8.67169,47.73155
"Andrena cineraria",7.73606,47.28801
"Andrena cineraria",9.43727,46.82117
"Andrena cineraria",9.30627,46.82339
"Andrena cineraria",6.42868,46.5193
"Andrena cineraria",8.66027,47.23695
"Andrena cineraria",6.62006,46.79072
"Andrena cineraria",8.46826,47.55364
"Andrena cineraria",8.20192,47.51073
"Andrena cineraria",8.19807,47.24092
"Andrena cineraria",7.80215,47.28782
"Andrena cineraria",8.49685,46.32096
"Andrena cineraria",7.47159,47.15347
"Andrena cineraria",7.93517,47.37727
"Andrena cineraria",6.42616,46.65422
"Andrena cineraria",6.81599,46.83694
"Andrena cineraria",6.30405,46.24823
"Andrena cineraria",8.6644,47.41681
"Andrena cineraria",7.99761,47.01719
"Andrena cineraria",7.93476,47.3323
"Andrena cineraria",7.72922,46.02867
"Andrena cineraria",8.00138,47.37697
"Andrena cineraria",7.6047,47.5581
"Andrena cineraria",8.53468,47.55304
"Andrena cineraria",8.53747,47.68793
"Andrena cineraria",6.87918,47.06215
"Andrena cineraria",7.1427,47.01816
"Andrena cineraria",8.73502,47.59594
"Andrena cineraria",8.26549,47.3304
"Andrena cineraria",8.80381,47.6851
"Andrena cineraria",9.23926,46.77948
"Andrena cineraria",8.9943,47.36786
"Andrena cineraria",8.60208,47.59735
"Andrena cineraria",8.20256,47.5557
"Andrena cineraria",9.50796,46.95489
"Andrena cineraria",9.57183,46.90873
