"Species","Longitude","Latitude"
"Andrena flavipes",7.623988,47.194602
"Andrena flavipes",6.577511,46.543499
"Andrena flavipes",6.544942,46.510535
"Andrena flavipes",6.044153,46.008444
"Andrena flavipes",7.403932,47.152253
"Andrena flavipes",6.853366,46.849573
"Andrena flavipes",7.59609,47.566806
"Andrena flavipes",7.300089,47.187674
"Andrena flavipes",6.011728,46.093451
"Andrena flavipes",8.91073,46.7392
"Andrena flavipes",7.80246,47.33279
"Andrena flavipes",7.86825,47.28759
"Andrena flavipes",7.73606,47.28801
"Andrena flavipes",6.68491,46.83615
"Andrena flavipes",7.01117,47.01775
"Andrena flavipes",6.81442,46.97186
"Andrena flavipes",9.43561,46.77621
"Andrena flavipes",9.5045,46.86497
"Andrena flavipes",7.33931,47.37829
"Andrena flavipes",8.26829,47.51028
"Andrena flavipes",7.87042,47.55741
"Andrena flavipes",8.46478,47.37378
"Andrena flavipes",8.66855,47.59667
"Andrena flavipes",7.93517,47.37727
"Andrena flavipes",7.47109,46.29891
"Andrena flavipes",6.04706,46.15538
"Andrena flavipes",7.1427,47.01816
"Andrena flavipes",6.75446,46.52173
"Andrena flavipes",8.20127,47.46577
"Andrena flavipes",7.47157,47.10849
"Andrena flavipes",8.5319,47.41814
"Andrena flavipes",6.81494,46.92689
"Andrena flavipes",8.13496,47.46618
"Andrena flavipes",8.66543,47.46178
"Andrena flavipes",8.86796,47.59438
"Andrena flavipes",6.88012,46.9722
"Andrena flavipes",6.1702,46.42674
"Andrena flavipes",7.01153,46.97277
"Andrena flavipes",7.14394,46.79328
"Andrena flavipes",7.80307,47.42273
"Andrena flavipes",8.53098,47.37317
"Andrena flavipes",8.60208,47.59735
"Andrena flavipes",7.73631,47.33298
"Andrena flavipes",8.80497,47.73006
"Andrena flavipes",7.53703,46.88358
"Andrena flavipes",7.07724,46.973
"Andrena flavipes",7.07785,46.88305
"Andrena flavipes",8.60604,47.7772
"Andrena flavipes",8.53468,47.55304
"Andrena flavipes",6.04591,46.20035
"Andrena flavipes",8.93442,47.59354
"Andrena flavipes",7.01403,46.65794
"Andrena flavipes",7.47159,47.15347
"Andrena flavipes",9.01525,45.83807
"Andrena flavipes",7.93309,47.15241
"Andrena flavipes",6.88199,46.7923
"Andrena flavipes",7.14369,46.83826
"Andrena flavipes",7.93643,47.51218
"Andrena flavipes",7.20807,47.10826
"Andrena flavipes",7.80276,47.37776
"Andrena flavipes",8.19935,47.33086
"Andrena flavipes",8.46826,47.55364
"Andrena flavipes",8.6696,47.64163
"Andrena flavipes",6.62006,46.79072
"Andrena flavipes",7.07418,47.42273
"Andrena flavipes",8.26549,47.3304
"Andrena flavipes",5.98235,46.15456
"Andrena flavipes",8.33541,47.55475
"Andrena flavipes",8.32714,47.06009
"Andrena flavipes",8.60405,47.68728
"Andrena flavipes",7.20904,46.88339
"Andrena flavipes",8.80381,47.6851
"Andrena flavipes",7.40578,46.97357
"Andrena flavipes",8.53561,47.598
"Andrena flavipes",9.51143,47.04481
"Andrena flavipes",7.86861,47.33256
"Andrena flavipes",7.80215,47.28782
"Andrena flavipes",7.40575,47.01854
"Andrena flavipes",9.57183,46.90873
"Andrena flavipes",6.23424,46.47242
"Andrena flavipes",6.55679,46.65531
"Andrena flavipes",6.49068,46.69976
"Andrena flavipes",7.07663,47.06295
"Andrena flavipes",7.60387,47.28827
"Andrena flavipes",7.34015,46.92855
"Andrena flavipes",8.46219,47.23888
"Andrena flavipes",6.29933,46.47309
"Andrena flavipes",7.99949,47.19708
"Andrena flavipes",7.86897,47.37753
"Andrena flavipes",7.86788,47.24262
"Andrena flavipes",8.60011,47.50742
"Andrena flavipes",7.34139,46.25389
"Andrena flavipes",5.98115,46.19953
"Andrena flavipes",9.57362,46.95369
"Andrena flavipes",6.75102,46.79159
"Andrena flavipes",7.80185,47.24285
"Andrena flavipes",7.87006,47.51244
"Andrena flavipes",7.47141,46.83864
"Andrena flavipes",8.00185,47.42194
"Andrena flavipes",6.94541,47.01748
"Andrena flavipes",6.36353,46.5187
"Andrena flavipes",9.37177,46.8223
"Andrena flavipes",7.14019,47.46789
"Andrena flavipes",7.20827,47.06329
"Andrena flavipes",7.47162,47.19844
"Andrena flavipes",6.49226,46.60981
"Andrena flavipes",8.67273,47.77651
"Andrena flavipes",7.20885,46.92836
"Andrena flavipes",7.14295,46.97319
"Andrena flavipes",7.07694,47.01797
"Andrena flavipes",8.47088,47.68854
"Andrena flavipes",8.47176,47.7335
"Andrena flavipes",8.6521,46.87719
"Andrena flavipes",7.60222,46.74857
"Andrena flavipes",8.59815,47.41749
"Andrena flavipes",7.99761,47.01719
"Andrena flavipes",6.87965,47.01718
"Andrena flavipes",8.20063,47.4208
"Andrena flavipes",7.66577,46.29868
"Andrena flavipes",8.53747,47.68793
"Andrena flavipes",6.55458,46.79023
