"Species","Longitude","Latitude"
"Andrena fulva",7.624056,47.194561
"Andrena fulva",7.903703,47.349959
"Andrena fulva",6.621505,46.515738
"Andrena fulva",6.817767,46.515717
"Andrena fulva",7.578261,47.539943
"Andrena fulva",9.572883,46.9439
"Andrena fulva",6.551982,46.659353
"Andrena fulva",6.703189,46.514588
"Andrena fulva",8.943276,46.468624
"Andrena fulva",7.403932,47.152253
"Andrena fulva",6.539487,46.515214
"Andrena fulva",7.44772,46.92889
"Andrena fulva",8.865684,46.150599
"Andrena fulva",6.137326,46.18745
"Andrena fulva",7.80185,47.24285
"Andrena fulva",7.3399,47.06348
"Andrena fulva",8.26549,47.3304
"Andrena fulva",8.7008,46.15693
"Andrena fulva",7.86861,47.33256
"Andrena fulva",7.93517,47.37727
"Andrena fulva",8.3264,47.01512
"Andrena fulva",7.5376,47.1984
"Andrena fulva",7.20962,46.74846
"Andrena fulva",7.86897,47.37753
"Andrena fulva",9.02044,46.01794
"Andrena fulva",8.76661,46.20116
"Andrena fulva",9.22583,46.37478
"Andrena fulva",7.1476,46.11862
"Andrena fulva",6.68491,46.83615
"Andrena fulva",8.20127,47.46577
"Andrena fulva",7.47109,46.29891
"Andrena fulva",7.66746,46.70348
"Andrena fulva",9.57183,46.90873
"Andrena fulva",7.47157,47.10849
"Andrena fulva",8.69976,46.11195
"Andrena fulva",7.60087,46.29879
"Andrena fulva",7.40581,46.92859
"Andrena fulva",8.89614,46.19956
"Andrena fulva",7.99761,47.01719
"Andrena fulva",8.5319,47.41814
"Andrena fulva",8.89015,45.97471
"Andrena fulva",7.47154,47.06352
"Andrena fulva",7.80276,47.37776
"Andrena fulva",7.66595,46.34366
"Andrena fulva",7.60373,47.2433
"Andrena fulva",7.80246,47.33279
"Andrena fulva",7.86009,46.25315
"Andrena fulva",6.81599,46.83694
"Andrena fulva",8.63708,46.2026
"Andrena fulva",8.26759,47.46531
"Andrena fulva",7.67094,47.51301
"Andrena fulva",7.66577,46.29868
"Andrena fulva",7.53769,47.24338
"Andrena fulva",8.13496,47.46618
"Andrena fulva",9.43561,46.77621
"Andrena fulva",7.4062,46.2989
"Andrena fulva",7.40623,46.25393
"Andrena fulva",8.46826,47.55364
"Andrena fulva",7.60387,47.28827
"Andrena fulva",8.53098,47.37317
"Andrena fulva",8.26133,47.06058
"Andrena fulva",8.46565,47.41875
"Andrena fulva",8.83138,46.20038
"Andrena fulva",8.13262,47.28631
"Andrena fulva",8.53006,47.32821
"Andrena fulva",8.76552,46.15618
"Andrena fulva",9.57005,46.86377
"Andrena fulva",9.26827,47.63373
"Andrena fulva",9.38151,47.09207
"Andrena fulva",8.26479,47.28543
"Andrena fulva",8.33013,47.23997
"Andrena fulva",8.7946,47.3254
"Andrena fulva",7.79584,46.34333
"Andrena fulva",8.9534,45.92889
"Andrena fulva",8.59815,47.41749
"Andrena fulva",7.53598,46.29887
"Andrena fulva",7.73066,46.29854
"Andrena fulva",7.93268,47.10744
"Andrena fulva",9.50796,46.95489
"Andrena fulva",7.99996,47.24205
"Andrena fulva",7.86788,47.24262
"Andrena fulva",7.73631,47.33298
"Andrena fulva",6.88615,46.38751
"Andrena fulva",7.07875,46.74812
"Andrena fulva",8.93316,47.54858
"Andrena fulva",9.57541,46.99865
"Andrena fulva",8.9231,47.18888
"Andrena fulva",7.01117,47.01775
"Andrena fulva",7.99808,47.06216
"Andrena fulva",8.52184,46.92348
"Andrena fulva",7.67016,47.33313
"Andrena fulva",9.39795,47.54165
"Andrena fulva",7.27668,46.20884
"Andrena fulva",8.59717,47.37253
"Andrena fulva",8.19807,47.24092
"Andrena fulva",7.80215,47.28782
"Andrena fulva",8.96595,46.37858
"Andrena fulva",7.86044,46.29813
"Andrena fulva",10.22074,46.75977
"Andrena fulva",8.52914,47.28324
"Andrena fulva",8.19743,47.19595
"Andrena fulva",7.20788,47.15324
"Andrena fulva",9.5045,46.86497
"Andrena fulva",6.75446,46.52173
"Andrena fulva",9.54888,46.32423
"Andrena fulva",6.94624,46.92753
"Andrena fulva",8.26064,47.01561
"Andrena fulva",7.86716,47.15267
"Andrena fulva",8.83715,46.42523
"Andrena fulva",7.21209,46.16375
"Andrena fulva",7.07418,47.42273
"Andrena fulva",7.21246,46.07379
"Andrena fulva",6.94541,47.01748
"Andrena fulva",8.06811,47.42159
"Andrena fulva",8.95216,45.88392
"Andrena fulva",9.20176,47.63476
"Andrena fulva",6.88523,46.47747
"Andrena fulva",8.46478,47.37378
"Andrena fulva",6.30405,46.24823
"Andrena fulva",8.06285,46.97187
"Andrena fulva",8.20321,47.60067
"Andrena fulva",8.84414,46.69505
"Andrena fulva",8.57606,46.38317
"Andrena fulva",8.60307,47.64231
"Andrena fulva",9.06459,47.50183
"Andrena fulva",7.0172,46.25314
"Andrena fulva",8.60405,47.68728
"Andrena fulva",7.66938,47.15324
"Andrena fulva",7.2071,47.33313
"Andrena fulva",7.85974,46.20817
"Andrena fulva",7.07724,46.973
"Andrena fulva",8.00138,47.37697
"Andrena fulva",6.04591,46.20035
"Andrena fulva",8.00185,47.42194
