"Species","Longitude","Latitude"
"Andrena haemorrhoa",6.576726,46.543347
"Andrena haemorrhoa",7.403932,47.152253
"Andrena haemorrhoa",8.645596,47.41193
"Andrena haemorrhoa",6.566935,46.51791
"Andrena haemorrhoa",7.931672,47.435469
"Andrena haemorrhoa",7.611976,46.349686
"Andrena haemorrhoa",8.582538,47.321212
"Andrena haemorrhoa",8.596059,47.488212
"Andrena haemorrhoa",7.590757,47.537266
"Andrena haemorrhoa",6.131728,46.44167
"Andrena haemorrhoa",8.454955,47.360703
"Andrena haemorrhoa",8.065851,47.383414
"Andrena haemorrhoa",7.012033,46.83883
"Andrena haemorrhoa",7.131975,46.468138
"Andrena haemorrhoa",8.186563,47.378014
"Andrena haemorrhoa",6.110936,46.020833
"Andrena haemorrhoa",8.857579,47.516944
"Andrena haemorrhoa",7.62415,47.194513
"Andrena haemorrhoa",6.546686,46.619955
"Andrena haemorrhoa",6.703242,46.514632
"Andrena haemorrhoa",7.908655,47.348864
"Andrena haemorrhoa",6.847808,46.847057
"Andrena haemorrhoa",8.739933,47.425731
"Andrena haemorrhoa",8.513276,47.347006
"Andrena haemorrhoa",7.171032,46.844043
"Andrena haemorrhoa",6.656862,46.578864
"Andrena haemorrhoa",9.064697,47.394653
"Andrena haemorrhoa",7.41082,46.950025
"Andrena haemorrhoa",6.226825,46.226025
"Andrena haemorrhoa",6.662967,46.589355
"Andrena haemorrhoa",8.508497,47.41425
"Andrena haemorrhoa",7.883756,47.354374
"Andrena haemorrhoa",6.796336,46.370664
"Andrena haemorrhoa",7.505507,47.515111
"Andrena haemorrhoa",8.499752,47.376189
"Andrena haemorrhoa",8.999137,47.129711
"Andrena haemorrhoa",7.598275,46.739378
"Andrena haemorrhoa",6.641134,46.577972
"Andrena haemorrhoa",9.43561,46.77621
"Andrena haemorrhoa",7.34073,46.61371
"Andrena haemorrhoa",7.40561,47.24341
"Andrena haemorrhoa",8.26829,47.51028
"Andrena haemorrhoa",8.13496,47.46618
"Andrena haemorrhoa",7.67016,47.33313
"Andrena haemorrhoa",7.86897,47.37753
"Andrena haemorrhoa",7.86825,47.28759
"Andrena haemorrhoa",7.80276,47.37776
"Andrena haemorrhoa",9.12951,47.45592
"Andrena haemorrhoa",9.57183,46.90873
"Andrena haemorrhoa",6.81806,46.65704
"Andrena haemorrhoa",7.07663,47.06295
"Andrena haemorrhoa",9.50796,46.95489
