"Species","Longitude","Latitude"
"Anthidium manicatum",8.561958,47.358615
"Anthidium manicatum",7.619089,47.497238
"Anthidium manicatum",6.136784,46.19978
"Anthidium manicatum",7.572877,47.570395
"Anthidium manicatum",7.702827,47.196199
"Anthidium manicatum",7.623948,47.194552
"Anthidium manicatum",7.364436,46.235603
"Anthidium manicatum",7.598196,46.739388
"Anthidium manicatum",8.547563,47.397318
"Anthidium manicatum",8.784317,46.167918
"Anthidium manicatum",6.160863,46.28005
"Anthidium manicatum",6.118877,46.16822
"Anthidium manicatum",8.033785,47.39561
"Anthidium manicatum",6.846969,46.620755
"Anthidium manicatum",8.776963,47.111961
"Anthidium manicatum",7.238511,47.197876
"Anthidium manicatum",9.444372,47.185192
"Anthidium manicatum",8.38689,47.31316
"Anthidium manicatum",8.307177,47.030689
"Anthidium manicatum",6.012824,46.187243
"Anthidium manicatum",7.644322,47.59325
"Anthidium manicatum",8.508491,47.172042
"Anthidium manicatum",7.765813,47.512405
"Anthidium manicatum",7.403932,47.152253
"Anthidium manicatum",9.319287,47.125356
"Anthidium manicatum",6.803975,46.882837
"Anthidium manicatum",6.457583,46.824708
"Anthidium manicatum",6.641568,46.577523
"Anthidium manicatum",7.901777,47.351744
"Anthidium manicatum",9.064697,47.394683
"Anthidium manicatum",6.622873,46.513585
"Anthidium manicatum",7.804644,47.529397
"Anthidium manicatum",7.801898,46.318627
"Anthidium manicatum",8.373403,47.361846
"Anthidium manicatum",7.401722,47.196706
"Anthidium manicatum",6.112984,46.278157
"Anthidium manicatum",6.582759,46.521446
"Anthidium manicatum",8.490857,47.370784
"Anthidium manicatum",8.176503,47.380312
"Anthidium manicatum",7.075033,46.107239
"Anthidium manicatum",8.235177,46.869568
"Anthidium manicatum",6.974612,46.293447
"Anthidium manicatum",8.130348,47.443322
"Anthidium manicatum",7.688328,47.309684
"Anthidium manicatum",8.457412,47.696779
"Anthidium manicatum",8.715587,47.359184
"Anthidium manicatum",8.077417,46.748537
"Anthidium manicatum",6.192647,46.33287
"Anthidium manicatum",7.971445,46.317226
"Anthidium manicatum",8.65313,47.380238
"Anthidium manicatum",9.378572,47.424015
"Anthidium manicatum",8.085086,47.057207
"Anthidium manicatum",7.336526,47.37216
"Anthidium manicatum",6.84848,46.457679
"Anthidium manicatum",7.834905,47.588145
"Anthidium manicatum",8.394195,47.189378
"Anthidium manicatum",8.408617,47.504078
"Anthidium manicatum",8.741999,47.425472
"Anthidium manicatum",7.438761,46.983424
"Anthidium manicatum",8.63672,47.69485
"Anthidium manicatum",6.829594,47.108717
"Anthidium manicatum",7.773233,46.655078
"Anthidium manicatum",8.715522,47.34618
"Anthidium manicatum",7.734422,46.324966
"Anthidium manicatum",7.053845,46.974878
"Anthidium manicatum",6.98933,46.854588
"Anthidium manicatum",8.578933,47.334048
"Anthidium manicatum",7.138742,46.155676
"Anthidium manicatum",8.855345,46.026158
"Anthidium manicatum",6.911758,46.465981
"Anthidium manicatum",7.44528,46.456309
"Anthidium manicatum",7.198006,46.850792
"Anthidium manicatum",8.348285,47.272554
"Anthidium manicatum",7.45111,46.94641
"Anthidium manicatum",7.80185,47.24285
"Anthidium manicatum",8.95216,45.88392
"Anthidium manicatum",7.93476,47.3323
"Anthidium manicatum",8.6521,46.87719
"Anthidium manicatum",6.81442,46.97186
"Anthidium manicatum",8.58748,46.92284
"Anthidium manicatum",8.59717,47.37253
"Anthidium manicatum",9.10834,46.78147
"Anthidium manicatum",6.81494,46.92689
"Anthidium manicatum",8.6644,47.41681
"Anthidium manicatum",6.94541,47.01748
"Anthidium manicatum",8.06811,47.42159
"Anthidium manicatum",6.81806,46.65704
"Anthidium manicatum",7.80215,47.28782
"Anthidium manicatum",8.51196,46.42877
"Anthidium manicatum",7.40555,47.33336
"Anthidium manicatum",7.73631,47.33298
"Anthidium manicatum",7.86752,47.19765
"Anthidium manicatum",6.04706,46.15538
"Anthidium manicatum",7.07418,47.42273
"Anthidium manicatum",8.38976,46.87967
"Anthidium manicatum",8.33541,47.55475
"Anthidium manicatum",8.59815,47.41749
"Anthidium manicatum",8.66543,47.46178
"Anthidium manicatum",8.59913,47.46246
"Anthidium manicatum",7.67016,47.33313
"Anthidium manicatum",7.86897,47.37753
"Anthidium manicatum",8.7946,47.3254
"Anthidium manicatum",7.47109,46.29891
"Anthidium manicatum",8.80149,47.59518
"Anthidium manicatum",7.07875,46.74812
"Anthidium manicatum",8.9231,47.18888
"Anthidium manicatum",8.05511,46.29723
"Anthidium manicatum",7.14808,46.02867
"Anthidium manicatum",8.93316,47.54858
"Anthidium manicatum",7.60087,46.29879
"Anthidium manicatum",9.64112,46.9974
"Anthidium manicatum",7.85974,46.20817
"Anthidium manicatum",5.98235,46.15456
"Anthidium manicatum",7.80399,47.55764
"Anthidium manicatum",8.19807,47.24092
"Anthidium manicatum",8.26064,47.01561
"Anthidium manicatum",7.21246,46.07379
"Anthidium manicatum",9.57183,46.90873
"Anthidium manicatum",8.25246,46.47591
"Anthidium manicatum",8.92435,47.23384
"Anthidium manicatum",9.69925,46.81629
"Anthidium manicatum",9.51143,47.04481
"Anthidium manicatum",7.80246,47.33279
"Anthidium manicatum",7.01117,47.01775
"Anthidium manicatum",7.93517,47.37727
"Anthidium manicatum",7.40623,46.25393
"Anthidium manicatum",8.26829,47.51028
"Anthidium manicatum",8.85714,47.18971
"Anthidium manicatum",8.86917,47.63934
"Anthidium manicatum",7.1476,46.11862
"Anthidium manicatum",7.07663,47.06295
"Anthidium manicatum",7.5376,47.1984
"Anthidium manicatum",7.92533,46.29787
"Anthidium manicatum",8.73502,47.59594
"Anthidium manicatum",7.53794,47.37829
"Anthidium manicatum",9.20176,47.63476
"Anthidium manicatum",8.52184,46.92348
"Anthidium manicatum",8.46826,47.55364
"Anthidium manicatum",7.6156,46.83851
"Anthidium manicatum",8.05613,46.38719
"Anthidium manicatum",6.04591,46.20035
"Anthidium manicatum",8.32491,46.92517
"Anthidium manicatum",8.66855,47.59667
"Anthidium manicatum",7.86044,46.29813
"Anthidium manicatum",7.73606,47.28801
"Anthidium manicatum",7.67094,47.51301
"Anthidium manicatum",7.73066,46.29854
"Anthidium manicatum",8.19935,47.33086
"Anthidium manicatum",7.01153,46.97277
"Anthidium manicatum",7.60061,46.20884
"Anthidium manicatum",8.58652,46.87787
