"Species","Longitude","Latitude"
"Anthophora plumipes",7.57748,47.539773
"Anthophora plumipes",6.919523,46.735988
"Anthophora plumipes",8.558835,47.358597
"Anthophora plumipes",6.577349,46.543484
"Anthophora plumipes",7.598228,46.739374
"Anthophora plumipes",7.242444,47.139051
"Anthophora plumipes",8.313521,47.042273
"Anthophora plumipes",8.179988,47.380045
"Anthophora plumipes",6.834948,46.464325
"Anthophora plumipes",6.995787,46.300974
"Anthophora plumipes",7.570988,47.53787
"Anthophora plumipes",9.011213,45.855921
"Anthophora plumipes",7.9018,47.351951
"Anthophora plumipes",6.841661,46.84979
"Anthophora plumipes",8.582573,47.321222
"Anthophora plumipes",8.48137,47.382534
"Anthophora plumipes",6.568621,46.519294
"Anthophora plumipes",7.339226,47.188975
"Anthophora plumipes",6.904111,46.391522
"Anthophora plumipes",8.08553,47.057176
"Anthophora plumipes",7.9794,47.434055
"Anthophora plumipes",6.12494,46.201721
"Anthophora plumipes",7.403932,47.152253
"Anthophora plumipes",8.97589,45.97532
"Anthophora plumipes",6.54242,46.431481
"Anthophora plumipes",6.145756,46.224457
"Anthophora plumipes",7.624081,47.194513
"Anthophora plumipes",7.491234,47.421218
"Anthophora plumipes",6.483652,46.599983
"Anthophora plumipes",6.509316,46.418338
"Anthophora plumipes",8.348285,47.272554
"Anthophora plumipes",7.215748,46.104214
"Anthophora plumipes",7.381114,46.181642
"Anthophora plumipes",8.776928,47.111995
"Anthophora plumipes",8.542596,47.307085
"Anthophora plumipes",9.444146,47.185028
"Anthophora plumipes",8.938333,46.474722
"Anthophora plumipes",7.07724,46.973
"Anthophora plumipes",7.67016,47.33313
"Anthophora plumipes",7.86897,47.37753
"Anthophora plumipes",7.80185,47.24285
"Anthophora plumipes",9.20176,47.63476
"Anthophora plumipes",6.29933,46.47309
"Anthophora plumipes",7.20962,46.74846
"Anthophora plumipes",7.07694,47.01797
"Anthophora plumipes",8.7946,47.3254
"Anthophora plumipes",7.07418,47.42273
"Anthophora plumipes",7.73631,47.33298
"Anthophora plumipes",7.93517,47.37727
"Anthophora plumipes",8.89015,45.97471
"Anthophora plumipes",8.66027,47.23695
