"Species","Longitude","Latitude"
"Bombus hortorum",8.398566,46.987721
"Bombus hortorum",6.604122,46.512777
"Bombus hortorum",8.559561,47.358393
"Bombus hortorum",8.50803,47.411
"Bombus hortorum",6.92239,46.814469
"Bombus hortorum",6.55653,46.507956
"Bombus hortorum",9.252904,47.413601
"Bombus hortorum",8.493285,47.356439
"Bombus hortorum",8.863524,47.580546
"Bombus hortorum",8.211874,46.36277
"Bombus hortorum",8.69367,47.268025
"Bombus hortorum",7.624022,47.194571
"Bombus hortorum",7.44528,46.456309
"Bombus hortorum",8.76534,47.513901
"Bombus hortorum",8.306576,47.030513
"Bombus hortorum",7.902546,46.65775
"Bombus hortorum",7.459055,46.944213
"Bombus hortorum",7.74556,46.700892
"Bombus hortorum",7.885762,46.549045
"Bombus hortorum",7.968399,47.512775
"Bombus hortorum",7.577788,47.53992
"Bombus hortorum",7.869433,46.949333
"Bombus hortorum",9.465467,46.840992
"Bombus hortorum",8.268947,47.353488
"Bombus hortorum",8.9375,46.457222
"Bombus hortorum",7.558392,46.491267
"Bombus hortorum",7.250467,46.735305
"Bombus hortorum",8.457412,47.696779
"Bombus hortorum",6.716657,46.950855
"Bombus hortorum",7.444703,46.952962
"Bombus hortorum",6.117037,46.180664
"Bombus hortorum",7.765787,47.512383
"Bombus hortorum",8.554809,47.747484
"Bombus hortorum",7.616617,47.53064
"Bombus hortorum",8.536913,47.333072
"Bombus hortorum",7.18141,46.803028
"Bombus hortorum",6.783417,46.900861
"Bombus hortorum",6.17708,46.052907
"Bombus hortorum",7.422328,46.92993
"Bombus hortorum",6.032304,46.004429
"Bombus hortorum",8.581976,47.321199
"Bombus hortorum",8.491489,47.34969
"Bombus hortorum",7.336629,47.372137
"Bombus hortorum",7.912858,46.572788
"Bombus hortorum",7.59828,46.73939
"Bombus hortorum",8.869653,46.166155
"Bombus hortorum",7.459478,46.292403
"Bombus hortorum",8.592373,47.488072
"Bombus hortorum",7.438213,46.959478
"Bombus hortorum",7.610925,47.4705
"Bombus hortorum",8.681604,47.217967
"Bombus hortorum",7.651507,47.589418
"Bombus hortorum",8.544486,47.302785
"Bombus hortorum",7.604,47.33324
"Bombus hortorum",6.74697,47.10641
"Bombus hortorum",7.08233,46.20839
"Bombus hortorum",9.50277,46.82001
"Bombus hortorum",7.40555,47.33336
"Bombus hortorum",8.95216,45.88392
"Bombus hortorum",7.66765,46.74846
"Bombus hortorum",7.07754,46.92802
"Bombus hortorum",7.73606,47.28801
"Bombus hortorum",7.93517,47.37727
"Bombus hortorum",8.76771,46.24613
"Bombus hortorum",7.80246,47.33279
"Bombus hortorum",7.67016,47.33313
"Bombus hortorum",7.86897,47.37753
"Bombus hortorum",7.73235,46.61338
"Bombus hortorum",6.49068,46.69976
"Bombus hortorum",8.12112,46.38682
"Bombus hortorum",7.87042,47.55741
"Bombus hortorum",7.40575,47.01854
"Bombus hortorum",8.59328,47.19266
"Bombus hortorum",7.01117,47.01775
"Bombus hortorum",6.36443,46.47373
"Bombus hortorum",8.58652,46.87787
"Bombus hortorum",8.85834,47.23467
"Bombus hortorum",7.01615,46.38807
"Bombus hortorum",7.27367,47.19832
"Bombus hortorum",9.31725,47.13813
"Bombus hortorum",5.98235,46.15456
"Bombus hortorum",8.6696,47.64163
"Bombus hortorum",9.32836,47.45284
"Bombus hortorum",6.5531,46.88018
"Bombus hortorum",7.80276,47.37776
"Bombus hortorum",7.93476,47.3323
"Bombus hortorum",8.32565,46.97014
"Bombus hortorum",8.38976,46.87967
"Bombus hortorum",6.88012,46.9722
"Bombus hortorum",9.18546,47.14021
"Bombus hortorum",6.4883,46.83468
"Bombus hortorum",9.50796,46.95489
"Bombus hortorum",8.20127,47.46577
"Bombus hortorum",8.83138,46.20038
"Bombus hortorum",8.69976,46.11195
"Bombus hortorum",8.7008,46.15693
"Bombus hortorum",9.11393,46.96133
"Bombus hortorum",7.47157,47.10849
"Bombus hortorum",7.66595,46.34366
"Bombus hortorum",7.86861,47.33256
"Bombus hortorum",8.32491,46.92517
"Bombus hortorum",8.60504,47.73224
"Bombus hortorum",7.93559,47.42224
"Bombus hortorum",8.72413,47.14629
"Bombus hortorum",8.18612,46.38641
"Bombus hortorum",9.43561,46.77621
"Bombus hortorum",7.66996,47.28816
"Bombus hortorum",7.73631,47.33298
"Bombus hortorum",7.80185,47.24285
"Bombus hortorum",8.85476,47.09977
"Bombus hortorum",9.3897,47.31687
"Bombus hortorum",8.7946,47.3254
"Bombus hortorum",8.95965,46.15373
"Bombus hortorum",7.2745,46.92848
"Bombus hortorum",7.60087,46.29879
"Bombus hortorum",6.55679,46.65531
"Bombus hortorum",8.9534,45.92889
"Bombus hortorum",9.45751,47.36069
"Bombus hortorum",8.82679,46.02049
"Bombus hortorum",6.49147,46.65479
"Bombus hortorum",8.39215,47.01459
"Bombus hortorum",8.00185,47.42194
"Bombus hortorum",8.00091,47.332
"Bombus hortorum",7.92938,46.74764
"Bombus hortorum",8.46826,47.55364
"Bombus hortorum",8.26479,47.28543
"Bombus hortorum",8.76552,46.15618
"Bombus hortorum",8.00138,47.37697
"Bombus hortorum",7.80399,47.55764
"Bombus hortorum",7.99761,47.01719
"Bombus hortorum",7.08438,45.89355
"Bombus hortorum",9.38151,47.09207
"Bombus hortorum",7.60331,47.10838
"Bombus hortorum",9.56295,46.68393
"Bombus hortorum",7.86009,46.25315
"Bombus hortorum",8.92435,47.23384
"Bombus hortorum",6.68301,46.97107
"Bombus hortorum",8.3339,47.46482
"Bombus hortorum",7.49768,46.8926
"Bombus hortorum",8.19299,46.88114
"Bombus hortorum",7.08321,46.07346
"Bombus hortorum",7.40561,47.24341
"Bombus hortorum",7.7309,46.34351
"Bombus hortorum",9.50623,46.90993
"Bombus hortorum",8.89015,45.97471
"Bombus hortorum",7.99902,47.15211
"Bombus hortorum",8.6521,46.87719
"Bombus hortorum",7.86044,46.29813
"Bombus hortorum",8.66855,47.59667
"Bombus hortorum",8.26064,47.01561
"Bombus hortorum",8.63708,46.2026
"Bombus hortorum",8.38897,46.8347
"Bombus hortorum",9.62101,46.50285
"Bombus hortorum",8.80149,47.59518
"Bombus hortorum",8.72198,47.05635
"Bombus hortorum",6.10517,46.42599
"Bombus hortorum",8.53282,47.46311
"Bombus hortorum",7.66577,46.29868
"Bombus hortorum",7.60034,46.11888
"Bombus hortorum",7.02481,46.95483
"Bombus hortorum",9.06873,47.63671
"Bombus hortorum",8.92811,47.36873
"Bombus hortorum",10.35397,46.80145
"Bombus hortorum",7.80124,47.1529
"Bombus hortorum",8.19935,47.33086
"Bombus hortorum",7.47141,46.83864
"Bombus hortorum",7.40603,46.56877
"Bombus hortorum",9.58983,47.3583
"Bombus hortorum",6.04706,46.15538
"Bombus hortorum",8.26549,47.3304
"Bombus hortorum",8.76661,46.20116
"Bombus hortorum",8.89614,46.19956
"Bombus hortorum",8.39536,47.19447
"Bombus hortorum",9.10556,46.69153
"Bombus hortorum",9.51143,47.04481
"Bombus hortorum",9.06185,47.41191
"Bombus hortorum",8.60208,47.59735
"Bombus hortorum",7.86788,47.24262
"Bombus hortorum",7.73656,47.37795
"Bombus hortorum",6.42616,46.65422
"Bombus hortorum",7.80002,46.973
