"Species","Longitude","Latitude"
"Bombus humilis",8.356787,47.352097
"Bombus humilis",8.926667,46.485556
"Bombus humilis",8.408637,47.504258
"Bombus humilis",8.689658,47.425385
"Bombus humilis",10.108443,46.767938
"Bombus humilis",6.703135,46.514409
"Bombus humilis",7.651265,46.320397
"Bombus humilis",8.714808,47.359504
"Bombus humilis",7.109783,46.675763
"Bombus humilis",8.707442,47.257662
"Bombus humilis",6.576784,46.52131
"Bombus humilis",7.543096,47.002062
"Bombus humilis",8.201166,46.37001
"Bombus humilis",8.932778,46.557222
"Bombus humilis",8.529789,47.289144
"Bombus humilis",7.088173,46.130595
"Bombus humilis",8.132501,46.904683
"Bombus humilis",8.86897,47.585207
"Bombus humilis",7.095856,46.958316
"Bombus humilis",8.398522,46.987542
"Bombus humilis",9.31927,47.125314
"Bombus humilis",8.457862,47.694472
"Bombus humilis",7.624071,47.194503
"Bombus humilis",9.253751,46.830545
"Bombus humilis",8.307456,47.030455
"Bombus humilis",7.047219,46.142666
"Bombus humilis",8.182944,46.439415
"Bombus humilis",7.012659,46.498124
"Bombus humilis",8.74653,47.1606
"Bombus humilis",8.07787,47.394488
"Bombus humilis",8.605512,47.305545
"Bombus humilis",9.327139,46.803547
"Bombus humilis",6.22468,46.561202
"Bombus humilis",6.818582,46.494355
"Bombus humilis",7.16037,46.837776
"Bombus humilis",7.577783,47.539455
"Bombus humilis",8.559474,47.358463
"Bombus humilis",7.21144,46.790926
"Bombus humilis",7.679635,46.687392
"Bombus humilis",8.822525,47.467812
"Bombus humilis",7.601222,47.092503
"Bombus humilis",7.804675,47.529451
"Bombus humilis",6.840353,46.849381
"Bombus humilis",7.426301,47.291024
"Bombus humilis",8.775747,46.675557
"Bombus humilis",7.897634,47.353152
"Bombus humilis",8.54228,47.419567
"Bombus humilis",8.526759,47.173935
"Bombus humilis",7.114711,46.029917
"Bombus humilis",7.557726,46.82533
"Bombus humilis",8.009461,47.534048
"Bombus humilis",7.403932,47.152253
"Bombus humilis",6.966732,47.005437
"Bombus humilis",8.887778,46.5225
"Bombus humilis",8.844204,46.709146
"Bombus humilis",8.425228,47.384095
"Bombus humilis",6.54932,46.620823
"Bombus humilis",9.9145,46.865428
"Bombus humilis",7.543583,47.503321
"Bombus humilis",8.348631,47.272442
"Bombus humilis",8.867714,47.295493
"Bombus humilis",9.134511,47.431672
"Bombus humilis",6.85389,46.45927
"Bombus humilis",7.667455,47.579678
"Bombus humilis",8.776972,47.111939
"Bombus humilis",7.478987,46.02682
"Bombus humilis",6.972226,46.428163
"Bombus humilis",6.902505,46.991198
"Bombus humilis",7.884342,46.549545
"Bombus humilis",8.569493,47.447994
"Bombus humilis",10.485519,46.928888
"Bombus humilis",6.138862,46.393182
"Bombus humilis",7.507824,47.419526
"Bombus humilis",7.519292,47.204267
"Bombus humilis",7.518044,47.455461
"Bombus humilis",9.707482,46.990224
"Bombus humilis",7.759478,47.286153
"Bombus humilis",7.680794,47.313931
"Bombus humilis",8.183753,47.380555
"Bombus humilis",7.19802,46.85078
"Bombus humilis",8.402442,47.204329
"Bombus humilis",6.24987,46.29408
"Bombus humilis",7.441225,46.987905
"Bombus humilis",8.97827,45.86951
"Bombus humilis",6.478772,46.668256
"Bombus humilis",7.114293,46.919938
"Bombus humilis",8.050742,47.403763
"Bombus humilis",7.234258,47.135717
"Bombus humilis",7.858395,47.39418
"Bombus humilis",7.411407,46.176488
"Bombus humilis",9.32155,46.554747
"Bombus humilis",7.038189,47.020856
"Bombus humilis",9.484956,46.885488
"Bombus humilis",7.519845,47.293937
"Bombus humilis",8.511141,47.318828
"Bombus humilis",9.658597,46.587111
"Bombus humilis",8.586556,47.409855
"Bombus humilis",7.431292,46.91895
"Bombus humilis",8.392085,47.474676
"Bombus humilis",8.51565,47.550883
"Bombus humilis",6.666079,46.656205
"Bombus humilis",7.152017,46.293822
"Bombus humilis",7.605328,47.489578
"Bombus humilis",7.89625,46.563412
"Bombus humilis",7.48457,46.877087
"Bombus humilis",6.82445,46.781925
"Bombus humilis",10.36672,46.81857
"Bombus humilis",8.267905,47.349322
"Bombus humilis",7.47992,46.913742
