"Species","Longitude","Latitude"
"Bombus hypnorum",6.634128,46.515941
"Bombus hypnorum",6.081055,46.030907
"Bombus hypnorum",7.522649,47.448668
"Bombus hypnorum",6.122431,46.199117
"Bombus hypnorum",7.59609,47.566806
"Bombus hypnorum",8.549269,47.39567
"Bombus hypnorum",8.713398,47.347415
"Bombus hypnorum",8.429115,47.384764
"Bombus hypnorum",7.882361,47.184253
"Bombus hypnorum",8.551614,47.370948
"Bombus hypnorum",6.898236,46.474873
"Bombus hypnorum",8.780752,46.686602
"Bombus hypnorum",9.061167,47.411547
"Bombus hypnorum",9.415453,47.517852
"Bombus hypnorum",7.644235,47.57688
"Bombus hypnorum",7.437841,46.976525
"Bombus hypnorum",6.17227,46.168186
"Bombus hypnorum",7.624018,47.19459
"Bombus hypnorum",9.253418,47.437131
"Bombus hypnorum",8.394247,47.189392
"Bombus hypnorum",8.44397,47.337711
"Bombus hypnorum",7.187769,47.110178
"Bombus hypnorum",7.709657,46.321762
"Bombus hypnorum",8.45494,47.360702
"Bombus hypnorum",8.071764,46.175933
"Bombus hypnorum",6.989317,46.854775
"Bombus hypnorum",6.846824,46.856306
"Bombus hypnorum",9.9229,46.579058
"Bombus hypnorum",8.192483,47.516468
"Bombus hypnorum",7.104597,46.279508
"Bombus hypnorum",8.582595,47.321248
"Bombus hypnorum",7.197978,46.850761
"Bombus hypnorum",8.175837,47.380655
"Bombus hypnorum",7.713053,46.221793
"Bombus hypnorum",9.834922,46.492233
"Bombus hypnorum",6.850003,46.616667
"Bombus hypnorum",6.93322,46.75692
"Bombus hypnorum",7.4793,46.046245
"Bombus hypnorum",8.592324,47.488703
"Bombus hypnorum",7.013798,46.876655
"Bombus hypnorum",7.075056,46.107131
"Bombus hypnorum",6.065628,46.115805
"Bombus hypnorum",8.77688,47.11195
"Bombus hypnorum",9.544495,46.859261
"Bombus hypnorum",6.92232,46.814389
"Bombus hypnorum",7.840654,46.673673
"Bombus hypnorum",6.663848,46.819153
"Bombus hypnorum",9.444159,47.185066
"Bombus hypnorum",7.896442,46.581478
"Bombus hypnorum",6.856805,46.451712
"Bombus hypnorum",6.924778,46.227585
"Bombus hypnorum",8.943981,46.468762
"Bombus hypnorum",6.703242,46.514612
"Bombus hypnorum",7.374797,47.139574
"Bombus hypnorum",7.565409,46.489536
"Bombus hypnorum",8.534983,47.331209
"Bombus hypnorum",9.882823,46.867428
"Bombus hypnorum",7.070147,46.348593
"Bombus hypnorum",8.689242,47.267945
"Bombus hypnorum",8.851337,47.295863
"Bombus hypnorum",7.590271,47.515151
"Bombus hypnorum",8.541503,47.303571
"Bombus hypnorum",7.143061,47.344701
"Bombus hypnorum",6.192379,46.333836
"Bombus hypnorum",6.457615,46.824688
"Bombus hypnorum",8.822905,47.329613
"Bombus hypnorum",8.398515,46.987576
"Bombus hypnorum",8.423748,47.420375
"Bombus hypnorum",9.830181,46.806171
"Bombus hypnorum",8.40848,47.504147
"Bombus hypnorum",9.65452,46.990483
"Bombus hypnorum",7.402569,46.900142
"Bombus hypnorum",8.064423,47.410864
"Bombus hypnorum",10.152554,46.775537
"Bombus hypnorum",6.138806,46.392773
"Bombus hypnorum",7.2071,47.33313
"Bombus hypnorum",7.40581,46.92859
"Bombus hypnorum",7.20788,47.15324
"Bombus hypnorum",7.40628,46.16397
"Bombus hypnorum",7.47146,46.92859
"Bombus hypnorum",7.73606,47.28801
"Bombus hypnorum",8.52822,47.23827
"Bombus hypnorum",7.73631,47.33298
"Bombus hypnorum",8.76661,46.20116
"Bombus hypnorum",8.32714,47.06009
"Bombus hypnorum",7.86861,47.33256
"Bombus hypnorum",9.5045,46.86497
"Bombus hypnorum",7.8668,47.1077
"Bombus hypnorum",9.45751,47.36069
"Bombus hypnorum",7.67016,47.33313
"Bombus hypnorum",7.80246,47.33279
"Bombus hypnorum",7.86897,47.37753
"Bombus hypnorum",9.69925,46.81629
"Bombus hypnorum",9.43727,46.82117
"Bombus hypnorum",8.84414,46.69505
"Bombus hypnorum",7.66595,46.34366
"Bombus hypnorum",7.93517,47.37727
"Bombus hypnorum",8.76552,46.15618
"Bombus hypnorum",8.26549,47.3304
"Bombus hypnorum",7.47157,47.10849
"Bombus hypnorum",9.50796,46.95489
"Bombus hypnorum",7.86788,47.24262
"Bombus hypnorum",7.1422,47.10811
"Bombus hypnorum",8.60604,47.7772
"Bombus hypnorum",8.00185,47.42194
"Bombus hypnorum",7.93476,47.3323
"Bombus hypnorum",8.26479,47.28543
"Bombus hypnorum",8.59815,47.41749
"Bombus hypnorum",8.83138,46.20038
"Bombus hypnorum",8.00138,47.37697
"Bombus hypnorum",7.07875,46.74812
"Bombus hypnorum",7.30008,47.18936
"Bombus hypnorum",6.94624,46.92753
"Bombus hypnorum",8.80149,47.59518
"Bombus hypnorum",9.20176,47.63476
"Bombus hypnorum",7.53662,46.65869
"Bombus hypnorum",7.47154,47.06352
"Bombus hypnorum",7.80276,47.37776
"Bombus hypnorum",7.60387,47.28827
"Bombus hypnorum",7.40569,47.10849
"Bombus hypnorum",8.7008,46.15693
"Bombus hypnorum",8.3264,47.01512
"Bombus hypnorum",9.30627,46.82339
"Bombus hypnorum",8.00043,47.28702
"Bombus hypnorum",7.93559,47.42224
"Bombus hypnorum",7.01615,46.38807
"Bombus hypnorum",7.8864,46.29803
"Bombus hypnorum",8.96342,46.28864
"Bombus hypnorum",9.22583,46.37478
"Bombus hypnorum",9.06459,47.50183
"Bombus hypnorum",7.86825,47.28759
"Bombus hypnorum",7.33931,47.37829
"Bombus hypnorum",7.66765,46.74846
"Bombus hypnorum",7.66996,47.28816
"Bombus hypnorum",8.52184,46.92348
"Bombus hypnorum",8.58652,46.87787
"Bombus hypnorum",7.53703,46.88358
"Bombus hypnorum",7.73211,46.5684
"Bombus hypnorum",7.66957,47.19821
"Bombus hypnorum",9.51143,47.04481
"Bombus hypnorum",8.12625,46.7916
"Bombus hypnorum",8.59717,47.37253
"Bombus hypnorum",8.9534,45.92889
"Bombus hypnorum",9.01655,45.88303
"Bombus hypnorum",8.83715,46.42523
"Bombus hypnorum",8.73283,47.50602
"Bombus hypnorum",7.60373,47.2433
"Bombus hypnorum",8.89614,46.19956
"Bombus hypnorum",7.01117,47.01775
"Bombus hypnorum",9.50277,46.82001
"Bombus hypnorum",8.20063,47.4208
"Bombus hypnorum",10.47473,46.61826
"Bombus hypnorum",8.19615,47.106
"Bombus hypnorum",9.12951,47.45592
"Bombus hypnorum",8.26064,47.01561
"Bombus hypnorum",7.99761,47.01719
"Bombus hypnorum",7.35334,46.89258
"Bombus hypnorum",7.47117,46.43384
"Bombus hypnorum",7.80215,47.28782
"Bombus hypnorum",6.68554,46.79117
"Bombus hypnorum",7.40575,47.01854
"Bombus hypnorum",8.99299,47.3229
"Bombus hypnorum",8.69976,46.11195
"Bombus hypnorum",8.26133,47.06058
"Bombus hypnorum",9.06048,47.36695
"Bombus hypnorum",7.66746,46.70348
"Bombus hypnorum",8.67169,47.73155
"Bombus hypnorum",7.99902,47.15211
"Bombus hypnorum",6.88012,46.9722
"Bombus hypnorum",7.36641,46.92857
"Bombus hypnorum",7.08115,46.3883
"Bombus hypnorum",7.80185,47.24285
"Bombus hypnorum",7.14394,46.79328
"Bombus hypnorum",7.73187,46.52342
"Bombus hypnorum",7.33974,47.15343
"Bombus hypnorum",8.06652,47.28668
"Bombus hypnorum",7.08055,46.47825
"Bombus hypnorum",7.47176,47.4233
"Bombus hypnorum",8.20127,47.46577
"Bombus hypnorum",7.66652,46.4786
"Bombus hypnorum",8.5273,47.1933
"Bombus hypnorum",7.27668,46.20884
"Bombus hypnorum",6.23123,46.60734
"Bombus hypnorum",8.13203,47.24133
"Bombus hypnorum",9.56472,46.72889
"Bombus hypnorum",7.14614,46.38849
"Bombus hypnorum",8.46133,47.19391
"Bombus hypnorum",8.72413,47.14629
"Bombus hypnorum",8.34798,46.73607
"Bombus hypnorum",7.07742,46.94601
"Bombus hypnorum",8.60109,47.55239
"Bombus hypnorum",7.99574,46.83729
"Bombus hypnorum",6.55752,46.61034
"Bombus hypnorum",7.20885,46.92836
"Bombus hypnorum",8.19807,47.24092
"Bombus hypnorum",8.00281,47.51187
"Bombus hypnorum",7.60236,46.79355
"Bombus hypnorum",8.5384,47.73289
"Bombus hypnorum",8.66027,47.23695
"Bombus hypnorum",8.59913,47.46246
"Bombus hypnorum",10.08771,46.71794
"Bombus hypnorum",7.53598,46.29887
"Bombus hypnorum",9.24076,46.82444
"Bombus hypnorum",8.32491,46.92517
"Bombus hypnorum",6.68868,46.5663
"Bombus hypnorum",7.21076,46.47859
"Bombus hypnorum",9.81436,46.45397
"Bombus hypnorum",8.60405,47.68728
"Bombus hypnorum",7.60331,47.10838
"Bombus hypnorum",8.33541,47.55475
"Bombus hypnorum",7.60222,46.74857
"Bombus hypnorum",9.02436,46.15284
"Bombus hypnorum",7.8636,46.70292
"Bombus hypnorum",6.81442,46.97186
"Bombus hypnorum",7.07724,46.973
"Bombus hypnorum",7.0158,46.43305
"Bombus hypnorum",8.13087,47.15139
"Bombus hypnorum",8.13496,47.46618
"Bombus hypnorum",7.08351,46.02848
"Bombus hypnorum",7.40598,46.65873
"Bombus hypnorum",7.93268,47.10744
"Bombus hypnorum",7.60087,46.29879
"Bombus hypnorum",6.81961,46.52211
"Bombus hypnorum",8.99693,47.45779
"Bombus hypnorum",7.2745,46.92848
"Bombus hypnorum",6.62006,46.79072
"Bombus hypnorum",7.0172,46.25314
"Bombus hypnorum",9.05502,47.1871
"Bombus hypnorum",10.13732,46.40174
"Bombus hypnorum",7.1459,46.43346
"Bombus hypnorum",7.93185,47.01749
"Bombus hypnorum",7.80307,47.42273
"Bombus hypnorum",7.93309,47.15241
"Bombus hypnorum",8.95589,46.01883
"Bombus hypnorum",8.86917,47.63934
"Bombus hypnorum",8.19299,46.88114
"Bombus hypnorum",9.83222,46.85858
"Bombus hypnorum",10.22074,46.75977
"Bombus hypnorum",7.4713,46.65873
"Bombus hypnorum",6.49147,46.65479
"Bombus hypnorum",8.38897,46.8347
"Bombus hypnorum",8.06758,47.37663
"Bombus hypnorum",9.12381,47.27608
