"Species","Longitude","Latitude"
"Bombus lapidarius",8.546735,47.396326
"Bombus lapidarius",8.617651,47.771352
"Bombus lapidarius",7.901765,47.351762
"Bombus lapidarius",8.652634,47.412975
"Bombus lapidarius",6.845736,46.62062
"Bombus lapidarius",8.703965,47.353934
"Bombus lapidarius",8.560688,47.359108
"Bombus lapidarius",7.081781,46.79912
"Bombus lapidarius",7.624,47.194517
"Bombus lapidarius",8.897942,47.208323
"Bombus lapidarius",6.577322,46.543488
"Bombus lapidarius",9.134647,47.431538
"Bombus lapidarius",8.471489,47.386173
"Bombus lapidarius",7.460102,46.437425
"Bombus lapidarius",8.119715,47.443409
"Bombus lapidarius",8.58234,47.321336
"Bombus lapidarius",8.571676,47.429509
"Bombus lapidarius",6.963245,46.480195
"Bombus lapidarius",8.619277,47.61835
"Bombus lapidarius",7.606336,47.551525
"Bombus lapidarius",7.850452,46.68454
"Bombus lapidarius",9.511856,47.453796
"Bombus lapidarius",7.784064,47.509499
"Bombus lapidarius",6.825793,46.442662
"Bombus lapidarius",8.776813,47.111983
"Bombus lapidarius",9.050064,47.446601
"Bombus lapidarius",8.577838,47.385385
"Bombus lapidarius",7.398786,46.964097
"Bombus lapidarius",8.868968,47.585219
"Bombus lapidarius",8.012771,46.348245
"Bombus lapidarius",10.373698,46.607222
"Bombus lapidarius",8.619781,47.694061
"Bombus lapidarius",7.070409,46.881147
"Bombus lapidarius",6.118197,46.197587
"Bombus lapidarius",8.4666,47.4323
"Bombus lapidarius",7.889439,46.568744
"Bombus lapidarius",9.365158,47.408422
"Bombus lapidarius",7.211393,46.842448
"Bombus lapidarius",8.345863,47.529753
"Bombus lapidarius",8.851513,47.295983
"Bombus lapidarius",7.339226,47.188975
"Bombus lapidarius",9.176143,47.650419
"Bombus lapidarius",7.403932,47.152253
"Bombus lapidarius",8.317423,46.975306
"Bombus lapidarius",8.170484,47.420183
"Bombus lapidarius",8.485161,47.055985
"Bombus lapidarius",7.702688,47.196103
"Bombus lapidarius",9.602329,47.45141
"Bombus lapidarius",10.368681,46.949782
"Bombus lapidarius",7.624546,47.512573
"Bombus lapidarius",8.701775,47.322578
"Bombus lapidarius",8.306769,47.030791
"Bombus lapidarius",7.573936,47.271321
"Bombus lapidarius",9.407672,47.331117
"Bombus lapidarius",8.17995,47.37997
"Bombus lapidarius",8.267883,47.359112
"Bombus lapidarius",6.57877,46.535026
"Bombus lapidarius",7.441497,46.931162
"Bombus lapidarius",6.281979,46.451204
"Bombus lapidarius",8.076405,46.880863
"Bombus lapidarius",7.877892,47.495459
"Bombus lapidarius",9.884197,46.869358
"Bombus lapidarius",7.617041,47.479047
"Bombus lapidarius",9.477776,46.677625
"Bombus lapidarius",9.816243,46.794795
"Bombus lapidarius",8.7071,47.257167
"Bombus lapidarius",8.930603,45.950229
"Bombus lapidarius",8.942102,46.463388
"Bombus lapidarius",7.59853,46.739457
"Bombus lapidarius",7.6577,46.347155
"Bombus lapidarius",8.045708,46.6247
"Bombus lapidarius",6.075396,46.235403
"Bombus lapidarius",10.288595,46.795717
"Bombus lapidarius",7.078455,46.123398
"Bombus lapidarius",8.560953,47.294865
"Bombus lapidarius",7.242941,47.138398
"Bombus lapidarius",7.923922,46.314687
"Bombus lapidarius",7.440742,46.981939
"Bombus lapidarius",8.919613,47.646353
"Bombus lapidarius",8.515256,47.32123
"Bombus lapidarius",8.741411,47.538683
"Bombus lapidarius",6.680457,46.844752
"Bombus lapidarius",8.764851,47.283249
"Bombus lapidarius",7.872474,46.204378
"Bombus lapidarius",9.436367,46.83125
"Bombus lapidarius",7.183534,46.808336
"Bombus lapidarius",8.523044,47.175747
"Bombus lapidarius",9.06485,47.394685
"Bombus lapidarius",8.687839,47.270211
"Bombus lapidarius",8.592406,47.488892
"Bombus lapidarius",7.879408,47.359123
"Bombus lapidarius",7.143061,47.343952
"Bombus lapidarius",8.286488,47.346947
"Bombus lapidarius",9.685821,46.413716
"Bombus lapidarius",7.489675,46.8797
"Bombus lapidarius",8.855278,46.706183
"Bombus lapidarius",7.325073,47.373108
"Bombus lapidarius",6.623002,46.513621
"Bombus lapidarius",8.45581,47.696466
"Bombus lapidarius",8.5652,47.28324
"Bombus lapidarius",8.033673,47.4219
"Bombus lapidarius",8.984403,46.008608
"Bombus lapidarius",7.323842,46.249212
"Bombus lapidarius",7.113609,46.862833
"Bombus lapidarius",8.882523,47.302517
"Bombus lapidarius",6.155833,46.446667
"Bombus lapidarius",7.181255,47.106536
"Bombus lapidarius",7.680663,47.31266
"Bombus lapidarius",8.398406,46.987632
"Bombus lapidarius",7.509433,46.943926
"Bombus lapidarius",8.348285,47.272554
"Bombus lapidarius",7.14614,46.38849
"Bombus lapidarius",7.66577,46.29868
"Bombus lapidarius",7.08115,46.3883
"Bombus lapidarius",7.5381,47.46823
"Bombus lapidarius",8.46826,47.55364
"Bombus lapidarius",8.96595,46.37858
"Bombus lapidarius",8.93316,47.54858
"Bombus lapidarius",8.6696,47.64163
"Bombus lapidarius",7.73631,47.33298
"Bombus lapidarius",7.73606,47.28801
"Bombus lapidarius",8.82679,46.02049
"Bombus lapidarius",7.93517,47.37727
"Bombus lapidarius",7.93643,47.51218
"Bombus lapidarius",8.00091,47.332
"Bombus lapidarius",8.00138,47.37697
"Bombus lapidarius",9.45751,47.36069
"Bombus lapidarius",7.87042,47.55741
"Bombus lapidarius",8.80497,47.73006
"Bombus lapidarius",7.80215,47.28782
"Bombus lapidarius",9.02044,46.01794
"Bombus lapidarius",7.01117,47.01775
"Bombus lapidarius",7.47109,46.29891
"Bombus lapidarius",8.66027,47.23695
"Bombus lapidarius",7.93476,47.3323
"Bombus lapidarius",7.7309,46.34351
"Bombus lapidarius",6.68554,46.79117
"Bombus lapidarius",7.55082,47.20738
"Bombus lapidarius",7.80246,47.33279
"Bombus lapidarius",7.93559,47.42224
"Bombus lapidarius",7.80276,47.37776
"Bombus lapidarius",7.60114,46.38875
"Bombus lapidarius",7.99902,47.15211
"Bombus lapidarius",8.20256,47.5557
"Bombus lapidarius",7.47176,47.4233
"Bombus lapidarius",10.13062,46.26688
"Bombus lapidarius",8.76552,46.15618
"Bombus lapidarius",8.20127,47.46577
"Bombus lapidarius",8.80381,47.6851
"Bombus lapidarius",9.56118,46.63896
"Bombus lapidarius",6.94541,47.01748
"Bombus lapidarius",8.32714,47.06009
"Bombus lapidarius",8.52457,47.05839
"Bombus lapidarius",8.73174,47.46105
"Bombus lapidarius",7.14394,46.79328
"Bombus lapidarius",8.95216,45.88392
"Bombus lapidarius",9.5045,46.86497
"Bombus lapidarius",9.56084,46.96292
"Bombus lapidarius",7.08055,46.47825
"Bombus lapidarius",8.66336,47.37185
"Bombus lapidarius",8.7946,47.3254
"Bombus lapidarius",7.40561,47.24341
"Bombus lapidarius",9.23775,46.73451
"Bombus lapidarius",8.80149,47.59518
"Bombus lapidarius",9.09452,46.33179
"Bombus lapidarius",7.60414,47.37822
"Bombus lapidarius",7.67055,47.42307
"Bombus lapidarius",9.01655,45.88303
"Bombus lapidarius",7.47162,47.19844
"Bombus lapidarius",7.0172,46.25314
"Bombus lapidarius",9.31883,47.18309
"Bombus lapidarius",8.58652,46.87787
"Bombus lapidarius",7.40581,46.92859
"Bombus lapidarius",7.33974,47.15343
"Bombus lapidarius",7.01081,47.06272
"Bombus lapidarius",7.3933,46.20894
"Bombus lapidarius",7.53802,47.42326
"Bombus lapidarius",7.86752,47.19765
"Bombus lapidarius",7.27367,47.19832
"Bombus lapidarius",7.08321,46.07346
"Bombus lapidarius",8.9723,46.60343
"Bombus lapidarius",7.80307,47.42273
"Bombus lapidarius",8.00281,47.51187
"Bombus lapidarius",9.12381,47.27608
"Bombus lapidarius",9.22731,46.41975
"Bombus lapidarius",8.26479,47.28543
"Bombus lapidarius",9.50796,46.95489
"Bombus lapidarius",8.83138,46.20038
"Bombus lapidarius",8.06758,47.37663
"Bombus lapidarius",8.46133,47.19391
"Bombus lapidarius",8.66233,47.32688
"Bombus lapidarius",8.60504,47.73224
"Bombus lapidarius",7.66746,46.70348
"Bombus lapidarius",8.59328,47.19266
"Bombus lapidarius",7.86044,46.29813
"Bombus lapidarius",8.60109,47.55239
"Bombus lapidarius",7.99113,46.38752
"Bombus lapidarius",6.88012,46.9722
"Bombus lapidarius",7.08085,46.43328
"Bombus lapidarius",9.01525,45.83807
"Bombus lapidarius",7.80399,47.55764
"Bombus lapidarius",8.06389,47.06182
"Bombus lapidarius",7.67094,47.51301
"Bombus lapidarius",10.4095,46.61998
"Bombus lapidarius",7.07875,46.74812
"Bombus lapidarius",7.67035,47.3781
"Bombus lapidarius",8.76661,46.20116
"Bombus lapidarius",6.42616,46.65422
"Bombus lapidarius",9.57183,46.90873
"Bombus lapidarius",6.81806,46.65704
"Bombus lapidarius",9.51317,47.08977
"Bombus lapidarius",7.08203,46.25337
"Bombus lapidarius",7.33948,47.28835
"Bombus lapidarius",7.73656,47.37795
"Bombus lapidarius",8.4562,46.92408
"Bombus lapidarius",7.604,47.33324
"Bombus lapidarius",7.73681,47.42292
"Bombus lapidarius",7.66996,47.28816
"Bombus lapidarius",8.33541,47.55475
"Bombus lapidarius",8.06865,47.46656
"Bombus lapidarius",7.53785,47.33332
"Bombus lapidarius",7.07663,47.06295
"Bombus lapidarius",8.26759,47.46531
"Bombus lapidarius",7.99574,46.83729
"Bombus lapidarius",6.62006,46.79072
"Bombus lapidarius",6.16703,46.56165
"Bombus lapidarius",7.47157,47.10849
"Bombus lapidarius",9.11393,46.96133
"Bombus lapidarius",8.69976,46.11195
"Bombus lapidarius",8.60307,47.64231
"Bombus lapidarius",8.06811,47.42159
"Bombus lapidarius",8.59913,47.46246
"Bombus lapidarius",7.99996,47.24205
"Bombus lapidarius",8.47176,47.7335
"Bombus lapidarius",7.99761,47.01719
"Bombus lapidarius",9.43561,46.77621
"Bombus lapidarius",7.07418,47.42273
"Bombus lapidarius",7.01615,46.38807
"Bombus lapidarius",7.14566,46.47844
"Bombus lapidarius",9.51143,47.04481
"Bombus lapidarius",8.78665,47.01063
"Bombus lapidarius",7.53777,47.28835
"Bombus lapidarius",7.21076,46.47859
"Bombus lapidarius",8.7008,46.15693
"Bombus lapidarius",7.86009,46.25315
"Bombus lapidarius",7.08144,46.34332
"Bombus lapidarius",7.47165,47.24341
"Bombus lapidarius",8.19299,46.88114
"Bombus lapidarius",7.60373,47.2433
"Bombus lapidarius",7.21019,46.61352
"Bombus lapidarius",8.72413,47.14629
"Bombus lapidarius",6.23223,46.56237
"Bombus lapidarius",7.40569,47.10849
"Bombus lapidarius",8.5384,47.73289
"Bombus lapidarius",7.34073,46.61371
"Bombus lapidarius",6.88106,46.88225
"Bombus lapidarius",9.01784,45.928
"Bombus lapidarius",8.13029,47.10642
"Bombus lapidarius",9.03224,46.42266
"Bombus lapidarius",8.12112,46.38682
"Bombus lapidarius",6.49147,46.65479
"Bombus lapidarius",7.14736,46.1636
"Bombus lapidarius",7.07724,46.973
"Bombus lapidarius",9.63376,46.81757
"Bombus lapidarius",7.35334,46.89258
"Bombus lapidarius",7.86149,46.43306
"Bombus lapidarius",10.35641,46.8464
"Bombus lapidarius",9.57541,46.99865
"Bombus lapidarius",8.86193,47.36957
"Bombus lapidarius",8.26133,47.06058
"Bombus lapidarius",8.13379,47.37625
"Bombus lapidarius",6.4883,46.83468
"Bombus lapidarius",7.53662,46.65869
"Bombus lapidarius",8.26271,47.15052
"Bombus lapidarius",9.50623,46.90993
"Bombus lapidarius",8.67037,47.1019
"Bombus lapidarius",7.20962,46.74846
"Bombus lapidarius",6.49068,46.69976
"Bombus lapidarius",7.92493,46.25289
"Bombus lapidarius",7.60074,46.25382
"Bombus lapidarius",6.88523,46.47747
"Bombus lapidarius",6.55679,46.65531
"Bombus lapidarius",7.53819,47.5132
"Bombus lapidarius",7.86933,47.42251
"Bombus lapidarius",9.6192,46.45789
"Bombus lapidarius",7.93268,47.10744
"Bombus lapidarius",7.27436,46.97345
"Bombus lapidarius",8.19935,47.33086
"Bombus lapidarius",7.79555,46.29835
"Bombus lapidarius",7.93309,47.15241
"Bombus lapidarius",8.99299,47.3229
"Bombus lapidarius",8.06652,47.28668
"Bombus lapidarius",7.73731,47.51286
"Bombus lapidarius",8.66647,47.50674
"Bombus lapidarius",7.1422,47.10811
"Bombus lapidarius",8.66855,47.59667
"Bombus lapidarius",8.26064,47.01561
"Bombus lapidarius",8.92435,47.23384
"Bombus lapidarius",8.67169,47.73155
"Bombus lapidarius",8.53561,47.598
"Bombus lapidarius",7.53752,47.15343
"Bombus lapidarius",7.47151,47.01854
"Bombus lapidarius",8.46739,47.50868
"Bombus lapidarius",7.40558,47.28838
"Bombus lapidarius",7.07541,47.24284
"Bombus lapidarius",8.79232,47.23547
"Bombus lapidarius",7.53598,46.29887
"Bombus lapidarius",8.20321,47.60067
"Bombus lapidarius",7.47159,47.15347
"Bombus lapidarius",7.40572,47.06352
"Bombus lapidarius",8.13087,47.15139
"Bombus lapidarius",9.10834,46.78147
"Bombus lapidarius",7.0165,46.3431
"Bombus lapidarius",8.39778,47.32938
"Bombus lapidarius",6.61937,46.8357
"Bombus lapidarius",8.73612,47.6409
"Bombus lapidarius",7.21057,46.52357
"Bombus lapidarius",9.25136,47.13919
"Bombus lapidarius",7.34015,46.92855
"Bombus lapidarius",7.7047,46.2986
"Bombus lapidarius",7.92938,46.74764
"Bombus lapidarius",9.15802,46.28585
"Bombus lapidarius",8.46305,47.28384
"Bombus lapidarius",8.33163,47.32991
"Bombus lapidarius",8.53468,47.55304
"Bombus lapidarius",7.80185,47.24285
"Bombus lapidarius",8.39616,47.23944
"Bombus lapidarius",8.52184,46.92348
"Bombus lapidarius",7.20904,46.88339
"Bombus lapidarius",8.05511,46.29723
"Bombus lapidarius",8.12625,46.7916
"Bombus lapidarius",7.66957,47.19821
"Bombus lapidarius",8.46392,47.32881
"Bombus lapidarius",8.66543,47.46178
"Bombus lapidarius",6.81442,46.97186
"Bombus lapidarius",8.40102,47.50925
