"Species","Longitude","Latitude"
"Bombus lucorum",6.12007,46.446505
"Bombus lucorum",7.242475,47.139241
"Bombus lucorum",6.6297,46.506961
"Bombus lucorum",7.054596,46.974506
"Bombus lucorum",8.013411,46.811369
"Bombus lucorum",7.995427,46.586984
"Bombus lucorum",7.574907,46.230701
"Bombus lucorum",7.574082,46.238426
"Bombus lucorum",9.075775,47.564276
"Bombus lucorum",6.16005,46.276353
"Bombus lucorum",9.834922,46.492233
"Bombus lucorum",8.224918,47.503268
"Bombus lucorum",7.18582,45.991953
"Bombus lucorum",8.507374,47.347396
"Bombus lucorum",10.294025,46.7888
"Bombus lucorum",7.975017,47.309372
"Bombus lucorum",10.200026,46.666626
"Bombus lucorum",9.752054,46.6441
"Bombus lucorum",8.560113,47.358385
"Bombus lucorum",7.429723,46.911399
"Bombus lucorum",8.178636,47.373635
"Bombus lucorum",8.592397,47.488973
"Bombus lucorum",8.485233,47.056606
"Bombus lucorum",8.256317,46.979442
"Bombus lucorum",9.446137,46.685312
"Bombus lucorum",8.338558,46.971345
"Bombus lucorum",9.043956,45.885004
"Bombus lucorum",8.56798,47.451739
"Bombus lucorum",8.426458,47.135606
"Bombus lucorum",8.476325,47.548912
"Bombus lucorum",8.58624,47.362378
"Bombus lucorum",8.300385,47.062386
"Bombus lucorum",8.94,46.46
"Bombus lucorum",7.617488,47.076745
"Bombus lucorum",9.409975,47.267356
"Bombus lucorum",8.398488,46.987683
"Bombus lucorum",9.551604,46.675324
"Bombus lucorum",7.821563,47.515552
"Bombus lucorum",8.728415,46.222028
"Bombus lucorum",7.195589,46.968241
"Bombus lucorum",8.422636,47.418718
"Bombus lucorum",6.743865,46.952914
"Bombus lucorum",8.023593,46.735061
"Bombus lucorum",9.490588,46.86993
"Bombus lucorum",8.982851,47.031077
"Bombus lucorum",9.621413,46.35323
"Bombus lucorum",7.120216,46.253978
"Bombus lucorum",7.726731,46.623097
"Bombus lucorum",7.336977,46.233311
"Bombus lucorum",8.658293,47.309472
"Bombus lucorum",8.93,46.55
"Bombus lucorum",7.40634,46.07402
"Bombus lucorum",8.84064,46.56014
"Bombus lucorum",8.7008,46.15693
"Bombus lucorum",7.86044,46.29813
"Bombus lucorum",8.76661,46.20116
"Bombus lucorum",8.52184,46.92348
"Bombus lucorum",7.14019,47.46789
"Bombus lucorum",7.80276,47.37776
"Bombus lucorum",7.86897,47.37753
"Bombus lucorum",7.93517,47.37727
"Bombus lucorum",7.73631,47.33298
"Bombus lucorum",7.01081,47.06272
"Bombus lucorum",7.67035,47.3781
"Bombus lucorum",7.60359,47.19833
"Bombus lucorum",7.07663,47.06295
"Bombus lucorum",7.47109,46.29891
"Bombus lucorum",8.83947,46.51517
"Bombus lucorum",7.92493,46.25289
"Bombus lucorum",7.08055,46.47825
"Bombus lucorum",7.21133,46.34366
"Bombus lucorum",7.80246,47.33279
"Bombus lucorum",10.34911,46.71156
"Bombus lucorum",8.00185,47.42194
