"Species","Longitude","Latitude"
"Bombus pascuorum",8.800347,47.259542
"Bombus pascuorum",7.649647,46.383897
"Bombus pascuorum",9.404803,47.2796
"Bombus pascuorum",6.641446,46.577565
"Bombus pascuorum",7.6963,46.5022
"Bombus pascuorum",6.545741,46.522265
"Bombus pascuorum",7.902546,46.65775
"Bombus pascuorum",7.901738,47.35173
"Bombus pascuorum",8.308808,47.029416
"Bombus pascuorum",7.988517,46.324975
"Bombus pascuorum",7.001846,46.340209
"Bombus pascuorum",8.893289,47.282551
"Bombus pascuorum",9.196597,47.521147
"Bombus pascuorum",7.522634,46.292907
"Bombus pascuorum",7.537917,47.471239
"Bombus pascuorum",6.878783,46.476132
"Bombus pascuorum",8.84282,46.258505
"Bombus pascuorum",8.764421,47.514393
"Bombus pascuorum",6.026173,46.340944
"Bombus pascuorum",8.350679,47.122306
"Bombus pascuorum",7.877179,47.495743
"Bombus pascuorum",8.581899,47.321036
"Bombus pascuorum",9.181063,47.134128
"Bombus pascuorum",7.410433,46.170757
"Bombus pascuorum",6.714111,46.951283
"Bombus pascuorum",8.374777,47.357362
"Bombus pascuorum",7.286573,46.471757
"Bombus pascuorum",8.366346,47.328289
"Bombus pascuorum",8.679239,47.217404
"Bombus pascuorum",8.338912,47.372114
"Bombus pascuorum",6.082279,46.193467
"Bombus pascuorum",8.317423,46.975306
"Bombus pascuorum",8.943009,46.366574
"Bombus pascuorum",7.731892,47.211519
"Bombus pascuorum",8.857253,47.312345
"Bombus pascuorum",8.60808,47.404628
"Bombus pascuorum",8.977227,46.421188
"Bombus pascuorum",8.046215,47.401309
"Bombus pascuorum",7.982281,46.715076
"Bombus pascuorum",7.322357,46.42451
"Bombus pascuorum",8.799492,47.551192
"Bombus pascuorum",8.82302,46.134014
"Bombus pascuorum",7.532781,47.507717
"Bombus pascuorum",8.992134,46.947533
"Bombus pascuorum",6.161289,46.285008
"Bombus pascuorum",8.643583,46.162922
"Bombus pascuorum",7.660395,47.400298
"Bombus pascuorum",7.726671,47.519525
"Bombus pascuorum",8.473995,47.420547
"Bombus pascuorum",9.137067,47.438058
"Bombus pascuorum",7.126824,46.98589
"Bombus pascuorum",8.964762,45.884375
"Bombus pascuorum",9.253433,47.437172
"Bombus pascuorum",7.702,47.477915
"Bombus pascuorum",6.940106,46.999942
"Bombus pascuorum",7.196639,46.954287
"Bombus pascuorum",7.884975,46.551675
"Bombus pascuorum",7.40497,46.965129
"Bombus pascuorum",6.583761,46.574532
"Bombus pascuorum",7.710626,47.386191
"Bombus pascuorum",8.327522,47.054011
"Bombus pascuorum",8.767867,46.164691
"Bombus pascuorum",5.994928,46.204805
"Bombus pascuorum",7.59609,47.566806
"Bombus pascuorum",8.705742,47.345224
"Bombus pascuorum",8.483181,47.389305
"Bombus pascuorum",8.41,47.5
"Bombus pascuorum",7.607296,47.487022
"Bombus pascuorum",8.847034,47.611507
"Bombus pascuorum",6.127167,46.457167
"Bombus pascuorum",8.537568,47.384334
"Bombus pascuorum",8.102696,46.887648
"Bombus pascuorum",6.736614,46.995464
"Bombus pascuorum",8.687923,46.36796
"Bombus pascuorum",8.636597,46.361291
"Bombus pascuorum",8.787415,46.35201
"Bombus pascuorum",10.36266,46.81587
"Bombus pascuorum",8.565814,47.352502
"Bombus pascuorum",9.323195,46.550358
"Bombus pascuorum",8.71487,47.359308
"Bombus pascuorum",6.478454,46.666592
"Bombus pascuorum",9.291374,47.138002
"Bombus pascuorum",7.624675,47.512665
"Bombus pascuorum",8.995287,46.010431
"Bombus pascuorum",8.045701,47.390539
"Bombus pascuorum",8.455043,46.918209
"Bombus pascuorum",9.853972,46.491528
"Bombus pascuorum",7.706497,47.324023
"Bombus pascuorum",9.508497,46.873586
"Bombus pascuorum",7.673153,47.281444
"Bombus pascuorum",7.031956,46.832225
