"Species","Longitude","Latitude"
"Bombus pratorum",7.606119,47.551542
"Bombus pratorum",8.831388,46.26405
"Bombus pratorum",7.433756,46.9394
"Bombus pratorum",8.561606,47.358005
"Bombus pratorum",8.307734,47.049777
"Bombus pratorum",6.133833,46.460167
"Bombus pratorum",6.635717,46.524688
"Bombus pratorum",8.578721,47.334034
"Bombus pratorum",6.145449,46.224899
"Bombus pratorum",8.21015,47.01001
"Bombus pratorum",8.277149,47.474124
"Bombus pratorum",8.8875,46.522222
"Bombus pratorum",7.886371,46.54696
"Bombus pratorum",8.398955,46.986934
"Bombus pratorum",8.954479,47.433624
"Bombus pratorum",9.048744,47.038896
"Bombus pratorum",7.338292,46.233795
"Bombus pratorum",8.324769,46.961128
"Bombus pratorum",8.511288,47.407597
"Bombus pratorum",6.234785,46.383343
"Bombus pratorum",7.624672,47.51262
"Bombus pratorum",8.310052,47.028992
"Bombus pratorum",9.480449,46.679999
"Bombus pratorum",7.083456,46.519817
"Bombus pratorum",7.598717,47.084883
"Bombus pratorum",6.637237,46.556682
"Bombus pratorum",8.417414,47.326197
"Bombus pratorum",9.753736,46.421838
"Bombus pratorum",6.5782,46.519313
"Bombus pratorum",8.724666,47.535102
"Bombus pratorum",10.108817,46.768677
"Bombus pratorum",7.198025,46.850776
"Bombus pratorum",7.44291,46.45716
"Bombus pratorum",9.699908,46.390247
"Bombus pratorum",8.251755,46.990506
"Bombus pratorum",7.438657,46.977631
"Bombus pratorum",8.527901,47.44389
"Bombus pratorum",9.143194,47.215667
"Bombus pratorum",7.625105,46.926853
"Bombus pratorum",8.941836,46.463462
"Bombus pratorum",7.294697,47.435374
"Bombus pratorum",8.832778,46.538333
"Bombus pratorum",7.015442,46.115289
"Bombus pratorum",7.374797,47.139574
"Bombus pratorum",8.428158,47.384136
"Bombus pratorum",7.459312,47.481349
"Bombus pratorum",8.033785,47.395614
"Bombus pratorum",7.764472,47.477905
"Bombus pratorum",7.74618,46.700931
"Bombus pratorum",8.499303,47.346328
"Bombus pratorum",8.053978,46.659983
"Bombus pratorum",6.082947,46.227158
"Bombus pratorum",8.514622,47.30336
"Bombus pratorum",6.948675,47.004025
"Bombus pratorum",8.183906,47.374224
"Bombus pratorum",9.843827,46.797784
"Bombus pratorum",6.963238,46.480187
"Bombus pratorum",9.255313,47.143464
"Bombus pratorum",8.024704,47.510224
"Bombus pratorum",7.666174,46.484711
"Bombus pratorum",9.5385,46.842892
"Bombus pratorum",7.074997,46.107272
"Bombus pratorum",8.694753,47.26762
"Bombus pratorum",7.649017,46.386534
"Bombus pratorum",6.577353,46.543492
"Bombus pratorum",8.566842,47.284378
"Bombus pratorum",8.909167,46.556389
"Bombus pratorum",9.420689,47.516544
"Bombus pratorum",7.521526,47.087295
"Bombus pratorum",7.116365,46.038524
"Bombus pratorum",8.343021,47.342121
"Bombus pratorum",8.587611,47.353859
"Bombus pratorum",9.414444,47.060303
"Bombus pratorum",6.027971,46.184975
"Bombus pratorum",9.486544,47.232507
"Bombus pratorum",7.774953,46.54174
"Bombus pratorum",5.995995,46.192993
"Bombus pratorum",6.2639,46.50752
"Bombus pratorum",7.984225,46.356071
"Bombus pratorum",8.843747,46.972266
"Bombus pratorum",7.04686,46.303046
"Bombus pratorum",8.843201,47.335194
"Bombus pratorum",7.038306,47.1477
"Bombus pratorum",6.070456,46.010668
"Bombus pratorum",10.078683,46.727405
"Bombus pratorum",9.364992,47.408347
"Bombus pratorum",7.347974,47.159633
"Bombus pratorum",8.858069,47.660355
"Bombus pratorum",8.198202,47.288734
"Bombus pratorum",7.812451,47.469409
"Bombus pratorum",9.21079,47.593215
"Bombus pratorum",6.637381,46.786284
"Bombus pratorum",7.071586,46.066325
"Bombus pratorum",7.834386,47.364501
"Bombus pratorum",8.777103,47.111989
"Bombus pratorum",7.617041,47.479049
"Bombus pratorum",8.939861,46.552993
"Bombus pratorum",8.434058,47.390195
"Bombus pratorum",6.720582,46.936734
"Bombus pratorum",7.329947,46.137619
"Bombus pratorum",8.687863,47.273087
"Bombus pratorum",7.714237,47.405055
"Bombus pratorum",8.848611,46.528889
"Bombus pratorum",9.406017,46.973867
"Bombus pratorum",9.946014,46.572356
"Bombus pratorum",8.860055,46.213718
"Bombus pratorum",7.210929,46.093392
"Bombus pratorum",8.904358,47.281944
"Bombus pratorum",7.207214,46.79161
"Bombus pratorum",7.577621,47.433039
"Bombus pratorum",8.716208,47.358411
"Bombus pratorum",7.505829,47.515085
"Bombus pratorum",9.134486,47.43178
"Bombus pratorum",7.624063,47.194418
"Bombus pratorum",6.121036,46.447336
"Bombus pratorum",6.40784,46.566198
"Bombus pratorum",6.845748,46.848231
"Bombus pratorum",8.013191,46.2281
"Bombus pratorum",6.544278,46.80893
"Bombus pratorum",8.686865,47.425712
"Bombus pratorum",8.764486,47.206673
"Bombus pratorum",8.013393,46.834461
"Bombus pratorum",7.076897,46.271182
"Bombus pratorum",7.749653,46.027969
"Bombus pratorum",8.394237,47.189438
"Bombus pratorum",7.031547,46.832181
"Bombus pratorum",8.714741,47.347239
"Bombus pratorum",7.163656,46.216312
"Bombus pratorum",7.432428,47.428171
"Bombus pratorum",6.703182,46.514623
"Bombus pratorum",7.253073,46.114238
"Bombus pratorum",9.147378,46.921573
"Bombus pratorum",7.46462,46.92383
"Bombus pratorum",7.002914,46.027656
"Bombus pratorum",7.459145,46.442368
"Bombus pratorum",7.628834,46.380024
"Bombus pratorum",9.690104,46.978913
"Bombus pratorum",6.776756,46.491783
"Bombus pratorum",6.646967,46.590663
"Bombus pratorum",8.992777,47.403292
"Bombus pratorum",8.348285,47.272554
"Bombus pratorum",9.025878,46.206782
"Bombus pratorum",8.508308,47.245453
"Bombus pratorum",7.650567,47.570233
"Bombus pratorum",8.851289,47.295938
"Bombus pratorum",6.928467,46.526053
"Bombus pratorum",8.907405,47.390524
"Bombus pratorum",8.533065,47.024759
"Bombus pratorum",7.9205,46.608337
"Bombus pratorum",8.674072,47.380158
"Bombus pratorum",7.442727,46.24607
"Bombus pratorum",7.070302,46.348651
"Bombus pratorum",8.525777,47.17456
"Bombus pratorum",8.717303,47.596523
"Bombus pratorum",10.015194,46.390565
"Bombus pratorum",10.415447,46.84765
"Bombus pratorum",8.116556,47.333813
"Bombus pratorum",7.652337,47.583987
"Bombus pratorum",7.862317,46.702247
"Bombus pratorum",7.70581,46.333362
"Bombus pratorum",8.657962,46.18395
"Bombus pratorum",7.420789,46.954873
"Bombus pratorum",9.846053,46.559562
"Bombus pratorum",8.9725,46.419444
"Bombus pratorum",8.268787,47.411913
"Bombus pratorum",8.455005,47.416687
"Bombus pratorum",8.887739,47.579055
"Bombus pratorum",8.614693,47.592124
"Bombus pratorum",7.283928,46.0406
"Bombus pratorum",6.92386,46.425415
"Bombus pratorum",8.292936,46.63886
"Bombus pratorum",7.627704,46.730021
"Bombus pratorum",7.425383,46.34917
"Bombus pratorum",6.766683,46.957073
"Bombus pratorum",9.891873,46.492938
"Bombus pratorum",10.054906,46.604395
"Bombus pratorum",7.900247,46.571463
"Bombus pratorum",7.242166,47.138678
"Bombus pratorum",8.025734,47.445252
"Bombus pratorum",7.165228,46.79387
"Bombus pratorum",7.490387,46.866828
"Bombus pratorum",8.663861,46.907533
"Bombus pratorum",8.767058,47.503575
"Bombus pratorum",8.14047,46.90573
"Bombus pratorum",8.609539,47.479134
"Bombus pratorum",7.60067,47.09287
"Bombus pratorum",8.388406,47.413064
"Bombus pratorum",7.804377,47.52917
"Bombus pratorum",7.552151,47.542542
"Bombus pratorum",7.802772,46.728367
"Bombus pratorum",6.139069,46.392934
"Bombus pratorum",8.128947,47.4485
"Bombus pratorum",8.035335,46.265235
"Bombus pratorum",8.379779,46.99677
"Bombus pratorum",8.703977,47.256546
"Bombus pratorum",7.080587,46.797289
"Bombus pratorum",9.793533,46.456477
"Bombus pratorum",8.964567,47.21651
"Bombus pratorum",8.481934,47.742255
"Bombus pratorum",7.605301,46.55969
"Bombus pratorum",7.961032,46.585664
"Bombus pratorum",7.227392,46.171955
"Bombus pratorum",6.762659,46.510289
"Bombus pratorum",7.489108,47.249843
"Bombus pratorum",8.79232,47.23547
"Bombus pratorum",8.58652,46.87787
"Bombus pratorum",7.99113,46.38752
"Bombus pratorum",7.80246,47.33279
"Bombus pratorum",7.86897,47.37753
"Bombus pratorum",7.80307,47.42273
"Bombus pratorum",7.87042,47.55741
"Bombus pratorum",9.37501,46.91223
"Bombus pratorum",7.07875,46.74812
"Bombus pratorum",7.73631,47.33298
"Bombus pratorum",6.68491,46.83615
"Bombus pratorum",7.47109,46.29891
"Bombus pratorum",7.08174,46.29834
"Bombus pratorum",7.35334,46.89258
"Bombus pratorum",9.92107,46.79369
"Bombus pratorum",8.9534,45.92889
"Bombus pratorum",9.4962,46.9911
"Bombus pratorum",7.33931,47.37829
"Bombus pratorum",7.47159,47.15347
"Bombus pratorum",8.3339,47.46482
"Bombus pratorum",8.80149,47.59518
"Bombus pratorum",6.81442,46.97186
"Bombus pratorum",7.93517,47.37727
"Bombus pratorum",8.46133,47.19391
"Bombus pratorum",6.74697,47.10641
"Bombus pratorum",7.60236,46.79355
"Bombus pratorum",7.93476,47.3323
"Bombus pratorum",7.80215,47.28782
"Bombus pratorum",7.27436,46.97345
"Bombus pratorum",8.47088,47.68854
"Bombus pratorum",9.50796,46.95489
"Bombus pratorum",8.20192,47.51073
"Bombus pratorum",8.20127,47.46577
"Bombus pratorum",7.47157,47.10849
"Bombus pratorum",8.26549,47.3304
"Bombus pratorum",7.66595,46.34366
"Bombus pratorum",8.69976,46.11195
"Bombus pratorum",8.7008,46.15693
"Bombus pratorum",8.76661,46.20116
"Bombus pratorum",8.26479,47.28543
"Bombus pratorum",7.86861,47.33256
"Bombus pratorum",8.00185,47.42194
"Bombus pratorum",7.08351,46.02848
"Bombus pratorum",8.60011,47.50742
"Bombus pratorum",8.52184,46.92348
"Bombus pratorum",7.1459,46.43346
"Bombus pratorum",8.59815,47.41749
"Bombus pratorum",9.36373,46.59748
"Bombus pratorum",7.73531,47.15309
"Bombus pratorum",7.67016,47.33313
"Bombus pratorum",7.60387,47.28827
"Bombus pratorum",6.81806,46.65704
"Bombus pratorum",8.84414,46.69505
"Bombus pratorum",7.01117,47.01775
"Bombus pratorum",6.23524,46.42745
"Bombus pratorum",9.879,46.4436
"Bombus pratorum",7.07663,47.06295
"Bombus pratorum",8.44442,46.29445
"Bombus pratorum",8.06865,47.46656
"Bombus pratorum",7.47135,46.74868
