"Species","Longitude","Latitude"
"Bombus ruderarius",8.478148,47.496269
"Bombus ruderarius",8.907778,46.558056
"Bombus ruderarius",7.497742,46.460333
"Bombus ruderarius",8.563963,46.533358
"Bombus ruderarius",7.485316,46.031033
"Bombus ruderarius",7.075356,46.326675
"Bombus ruderarius",7.1471,46.028211
"Bombus ruderarius",6.959492,46.477397
"Bombus ruderarius",8.83947,46.51517
"Bombus ruderarius",8.58174,46.653
"Bombus ruderarius",9.43561,46.77621
"Bombus ruderarius",8.51823,46.74359
"Bombus ruderarius",8.91813,47.00901
"Bombus ruderarius",7.66595,46.34366
"Bombus ruderarius",8.12112,46.38682
"Bombus ruderarius",9.16803,46.60062
"Bombus ruderarius",7.92857,46.65768
"Bombus ruderarius",7.47135,46.74868
"Bombus ruderarius",10.13062,46.26688
"Bombus ruderarius",9.56118,46.63896
"Bombus ruderarius",9.55941,46.594
"Bombus ruderarius",7.07602,47.1529
"Bombus ruderarius",7.21152,46.29868
"Bombus ruderarius",9.02044,46.01794
"Bombus ruderarius",8.11887,46.20691
"Bombus ruderarius",8.45028,46.60927
"Bombus ruderarius",8.84414,46.69505
"Bombus ruderarius",7.7309,46.34351
"Bombus ruderarius",9.62101,46.50285
"Bombus ruderarius",7.0172,46.25314
"Bombus ruderarius",7.86009,46.25315
"Bombus ruderarius",7.0165,46.3431
"Bombus ruderarius",7.47099,46.11899
"Bombus ruderarius",9.68239,46.41166
"Bombus ruderarius",7.21114,46.38864
"Bombus ruderarius",6.95115,46.38781
"Bombus ruderarius",8.18612,46.38641
"Bombus ruderarius",9.88346,46.5425
"Bombus ruderarius",9.56295,46.68393
"Bombus ruderarius",10.34427,46.62167
"Bombus ruderarius",8.05409,46.20728
"Bombus ruderarius",7.14663,46.29853
"Bombus ruderarius",8.91442,46.87411
"Bombus ruderarius",8.83715,46.42523
"Bombus ruderarius",7.86149,46.43306
"Bombus ruderarius",9.88549,46.58746
"Bombus ruderarius",9.09452,46.33179
"Bombus ruderarius",7.21076,46.47859
"Bombus ruderarius",8.44442,46.29445
"Bombus ruderarius",6.88012,46.9722
"Bombus ruderarius",10.1576,46.8063
"Bombus ruderarius",7.99113,46.38752
"Bombus ruderarius",9.6192,46.45789
"Bombus ruderarius",9.22731,46.41975
"Bombus ruderarius",10.34911,46.71156
"Bombus ruderarius",9.8243,46.97574
"Bombus ruderarius",9.32303,46.55317
"Bombus ruderarius",8.00233,47.46691
"Bombus ruderarius",7.07418,47.42273
"Bombus ruderarius",8.71768,46.87648
"Bombus ruderarius",7.92493,46.25289
"Bombus ruderarius",10.15306,46.7164
"Bombus ruderarius",9.88143,46.49754
"Bombus ruderarius",7.66446,45.98384
"Bombus ruderarius",9.54888,46.32423
"Bombus ruderarius",7.79614,46.3883
"Bombus ruderarius",10.35397,46.80145
"Bombus ruderarius",7.3409,46.52376
"Bombus ruderarius",7.87042,47.55741
"Bombus ruderarius",7.08115,46.3883
"Bombus ruderarius",9.59988,46.95319
"Bombus ruderarius",9.3897,47.31687
"Bombus ruderarius",9.10556,46.69153
"Bombus ruderarius",7.66577,46.29868
"Bombus ruderarius",9.68612,46.50158
"Bombus ruderarius",9.01655,45.88303
"Bombus ruderarius",7.93517,47.37727
"Bombus ruderarius",8.05613,46.38719
"Bombus ruderarius",10.47473,46.61826
"Bombus ruderarius",8.6521,46.87719
"Bombus ruderarius",7.72922,46.02867
"Bombus ruderarius",8.32269,46.79025
"Bombus ruderarius",8.51375,46.51872
"Bombus ruderarius",8.05562,46.34221
"Bombus ruderarius",7.14687,46.25355
"Bombus ruderarius",7.75672,46.31646
"Bombus ruderarius",7.79644,46.43328
"Bombus ruderarius",8.76993,46.86688
"Bombus ruderarius",8.77878,46.69584
"Bombus ruderarius",9.61739,46.41292
"Bombus ruderarius",8.25721,46.79074
"Bombus ruderarius",7.86044,46.29813
"Bombus ruderarius",6.618,46.92565
"Bombus ruderarius",9.18975,46.46532
"Bombus ruderarius",9.11253,46.91637
"Bombus ruderarius",7.40611,46.43384
