"Species","Longitude","Latitude"
"Bombus sylvarum",7.077652,46.12058
"Bombus sylvarum",10.308405,46.820491
"Bombus sylvarum",7.69703,47.205108
"Bombus sylvarum",6.989867,46.854941
"Bombus sylvarum",6.867496,46.476018
"Bombus sylvarum",7.602483,47.581488
"Bombus sylvarum",7.624091,47.194672
"Bombus sylvarum",7.518534,47.592143
"Bombus sylvarum",6.88111,46.809689
"Bombus sylvarum",7.707066,47.462589
"Bombus sylvarum",8.822658,47.467758
"Bombus sylvarum",8.19661,47.54907
"Bombus sylvarum",7.997578,47.506347
"Bombus sylvarum",7.702356,47.477652
"Bombus sylvarum",7.541227,47.470191
"Bombus sylvarum",7.543852,47.503319
"Bombus sylvarum",7.771404,47.448258
"Bombus sylvarum",7.648671,46.317838
"Bombus sylvarum",7.300089,47.187674
"Bombus sylvarum",6.950749,47.423423
"Bombus sylvarum",6.795327,46.487487
"Bombus sylvarum",8.868322,47.58405
"Bombus sylvarum",8.737568,47.209343
"Bombus sylvarum",8.521413,47.490242
"Bombus sylvarum",7.483217,46.66615
"Bombus sylvarum",8.5675,47.450272
"Bombus sylvarum",7.519442,47.20423
"Bombus sylvarum",7.339226,47.188975
"Bombus sylvarum",8.370597,47.313498
"Bombus sylvarum",7.734827,47.498092
"Bombus sylvarum",8.012749,46.348243
"Bombus sylvarum",8.913623,47.584713
"Bombus sylvarum",8.477321,47.495487
"Bombus sylvarum",8.50898,47.432403
"Bombus sylvarum",7.783914,46.286657
"Bombus sylvarum",8.13496,47.46618
"Bombus sylvarum",8.80149,47.59518
"Bombus sylvarum",7.86861,47.33256
"Bombus sylvarum",7.66595,46.34366
"Bombus sylvarum",8.60208,47.59735
"Bombus sylvarum",10.35397,46.80145
"Bombus sylvarum",7.99902,47.15211
"Bombus sylvarum",8.46826,47.55364
"Bombus sylvarum",8.67273,47.77651
"Bombus sylvarum",8.47088,47.68854
"Bombus sylvarum",9.56118,46.63896
"Bombus sylvarum",8.86554,47.50446
"Bombus sylvarum",8.06811,47.42159
"Bombus sylvarum",7.7309,46.34351
"Bombus sylvarum",8.00185,47.42194
"Bombus sylvarum",8.80497,47.73006
"Bombus sylvarum",7.86009,46.25315
"Bombus sylvarum",8.79346,47.28044
"Bombus sylvarum",8.33541,47.55475
"Bombus sylvarum",6.68491,46.83615
"Bombus sylvarum",7.86897,47.37753
"Bombus sylvarum",7.21076,46.47859
"Bombus sylvarum",7.60442,47.46816
"Bombus sylvarum",8.6613,47.28191
"Bombus sylvarum",9.58983,47.3583
"Bombus sylvarum",9.23926,46.77948
"Bombus sylvarum",8.39697,47.28441
"Bombus sylvarum",7.93517,47.37727
"Bombus sylvarum",7.73631,47.33298
"Bombus sylvarum",8.47176,47.7335
"Bombus sylvarum",9.56084,46.96292
"Bombus sylvarum",8.60011,47.50742
"Bombus sylvarum",8.73722,47.68586
"Bombus sylvarum",8.46565,47.41875
"Bombus sylvarum",7.40581,46.92859
"Bombus sylvarum",8.85745,46.70389
"Bombus sylvarum",9.13524,47.63576
"Bombus sylvarum",7.66996,47.28816
"Bombus sylvarum",7.93476,47.3323
"Bombus sylvarum",9.69361,46.68141
"Bombus sylvarum",8.46392,47.32881
"Bombus sylvarum",7.79912,46.83808
"Bombus sylvarum",7.80246,47.33279
"Bombus sylvarum",6.29933,46.47309
"Bombus sylvarum",7.80399,47.55764
"Bombus sylvarum",6.94541,47.01748
"Bombus sylvarum",8.39616,47.23944
"Bombus sylvarum",7.20904,46.88339
"Bombus sylvarum",6.88153,46.83728
"Bombus sylvarum",6.55899,46.52039
"Bombus sylvarum",8.59815,47.41749
"Bombus sylvarum",7.73606,47.28801
"Bombus sylvarum",8.60109,47.55239
"Bombus sylvarum",8.66336,47.37185
"Bombus sylvarum",7.93559,47.42224
"Bombus sylvarum",8.53098,47.37317
"Bombus sylvarum",8.53561,47.598
"Bombus sylvarum",7.92533,46.29787
"Bombus sylvarum",8.20127,47.46577
"Bombus sylvarum",6.75446,46.52173
"Bombus sylvarum",8.46047,47.14894
"Bombus sylvarum",7.47157,47.10849
"Bombus sylvarum",5.98115,46.19953
"Bombus sylvarum",7.2071,47.33313
"Bombus sylvarum",10.08771,46.71794
"Bombus sylvarum",9.17235,46.73552
"Bombus sylvarum",8.06865,47.46656
"Bombus sylvarum",7.60222,46.74857
"Bombus sylvarum",7.40623,46.25393
"Bombus sylvarum",9.57183,46.90873
"Bombus sylvarum",8.26899,47.55524
"Bombus sylvarum",7.85974,46.20817
"Bombus sylvarum",9.57541,46.99865
"Bombus sylvarum",9.51143,47.04481
"Bombus sylvarum",7.27655,46.25381
"Bombus sylvarum",7.87042,47.55741
"Bombus sylvarum",7.00792,47.4225
"Bombus sylvarum",8.13087,47.15139
"Bombus sylvarum",7.67094,47.51301
