"Species","Longitude","Latitude"
"Bombus terrestris",8.559922,47.35864
"Bombus terrestris",7.596504,47.56677
"Bombus terrestris",7.083039,46.584889
"Bombus terrestris",8.029876,47.381784
"Bombus terrestris",7.460078,46.952367
"Bombus terrestris",7.616617,47.53064
"Bombus terrestris",6.706711,46.588689
"Bombus terrestris",7.52141,47.086228
"Bombus terrestris",6.640903,46.523212
"Bombus terrestris",6.834467,47.036993
"Bombus terrestris",8.267133,47.35975
"Bombus terrestris",8.984328,47.208465
"Bombus terrestris",7.821563,47.515552
"Bombus terrestris",6.496304,46.657745
"Bombus terrestris",8.69198,47.268812
"Bombus terrestris",8.003145,46.326368
"Bombus terrestris",8.749161,47.556422
"Bombus terrestris",6.166407,46.193066
"Bombus terrestris",6.194162,46.400837
"Bombus terrestris",9.666161,47.394375
"Bombus terrestris",8.755744,46.173818
"Bombus terrestris",8.514217,47.164137
"Bombus terrestris",6.870507,46.458672
"Bombus terrestris",6.085694,46.203887
"Bombus terrestris",6.939883,46.999744
"Bombus terrestris",8.986065,47.21424
"Bombus terrestris",7.597445,46.740622
"Bombus terrestris",8.941389,46.463333
"Bombus terrestris",8.765131,47.514004
"Bombus terrestris",6.158317,46.282272
"Bombus terrestris",9.514326,47.02601
"Bombus terrestris",7.668844,46.729344
"Bombus terrestris",8.51287,47.319202
"Bombus terrestris",6.523374,46.457295
"Bombus terrestris",7.616313,47.473763
"Bombus terrestris",8.744913,47.662575
"Bombus terrestris",8.886038,47.578791
"Bombus terrestris",8.709788,47.350271
"Bombus terrestris",7.374797,47.139574
"Bombus terrestris",8.43656,47.33642
"Bombus terrestris",8.600729,47.485801
"Bombus terrestris",8.581798,47.321284
"Bombus terrestris",8.889611,47.232013
"Bombus terrestris",8.163167,47.469412
"Bombus terrestris",8.77703,47.111961
"Bombus terrestris",7.467514,47.025133
"Bombus terrestris",8.871837,46.165767
"Bombus terrestris",8.330722,47.38397
"Bombus terrestris",8.90583,46.55932
"Bombus terrestris",8.83138,46.20038
"Bombus terrestris",8.7008,46.15693
"Bombus terrestris",7.47146,46.92859
"Bombus terrestris",8.99956,47.54771
"Bombus terrestris",8.76661,46.20116
"Bombus terrestris",7.20865,46.97334
"Bombus terrestris",7.80246,47.33279
"Bombus terrestris",7.73631,47.33298
"Bombus terrestris",7.93517,47.37727
"Bombus terrestris",8.00185,47.42194
"Bombus terrestris",7.73606,47.28801
"Bombus terrestris",8.80497,47.73006
"Bombus terrestris",8.00281,47.51187
"Bombus terrestris",7.60387,47.28827
"Bombus terrestris",7.60087,46.29879
"Bombus terrestris",7.86861,47.33256
"Bombus terrestris",7.67016,47.33313
"Bombus terrestris",7.66996,47.28816
"Bombus terrestris",7.01117,47.01775
"Bombus terrestris",6.75446,46.52173
"Bombus terrestris",7.86897,47.37753
"Bombus terrestris",8.83023,46.1554
"Bombus terrestris",8.00091,47.332
"Bombus terrestris",7.80215,47.28782
"Bombus terrestris",8.32714,47.06009
"Bombus terrestris",8.59815,47.41749
"Bombus terrestris",7.99761,47.01719
"Bombus terrestris",6.81599,46.83694
