"Species","Longitude","Latitude"
"Chelostoma florisomne",8.085417,47.057307
"Chelostoma florisomne",9.365127,47.408366
"Chelostoma florisomne",7.642372,46.364419
"Chelostoma florisomne",7.624228,47.194545
"Chelostoma florisomne",7.617203,47.494135
"Chelostoma florisomne",8.541235,47.315075
"Chelostoma florisomne",6.700842,46.51448
"Chelostoma florisomne",9.40813,47.440095
"Chelostoma florisomne",8.436955,47.373153
"Chelostoma florisomne",7.198064,46.850762
"Chelostoma florisomne",8.040931,47.261337
"Chelostoma florisomne",6.13869,46.392472
"Chelostoma florisomne",8.85834,47.23467
"Chelostoma florisomne",7.89907,46.26199
"Chelostoma florisomne",7.73187,46.52342
"Chelostoma florisomne",9.63376,46.81757
"Chelostoma florisomne",7.99068,46.34255
"Chelostoma florisomne",7.7309,46.34351
"Chelostoma florisomne",9.83423,46.90353
"Chelostoma florisomne",8.53468,47.55304
"Chelostoma florisomne",7.60087,46.29879
"Chelostoma florisomne",9.17961,46.96035
"Chelostoma florisomne",7.66996,47.28816
"Chelostoma florisomne",7.34147,46.20891
"Chelostoma florisomne",8.32565,46.97014
"Chelostoma florisomne",8.38976,46.87967
"Chelostoma florisomne",7.47157,47.10849
"Chelostoma florisomne",9.11393,46.96133
"Chelostoma florisomne",8.84414,46.69505
"Chelostoma florisomne",9.50796,46.95489
"Chelostoma florisomne",6.87965,47.01718
"Chelostoma florisomne",8.83715,46.42523
"Chelostoma florisomne",8.73283,47.50602
"Chelostoma florisomne",7.86009,46.25315
"Chelostoma florisomne",9.54888,46.32423
"Chelostoma florisomne",7.80276,47.37776
"Chelostoma florisomne",8.66855,47.59667
"Chelostoma florisomne",8.25246,46.47591
"Chelostoma florisomne",8.19871,47.28589
"Chelostoma florisomne",7.86788,47.24262
"Chelostoma florisomne",7.73631,47.33298
"Chelostoma florisomne",7.86044,46.29813
"Chelostoma florisomne",8.46565,47.41875
"Chelostoma florisomne",8.67169,47.73155
"Chelostoma florisomne",8.12112,46.38682
"Chelostoma florisomne",7.40598,46.65873
"Chelostoma florisomne",7.80246,47.33279
"Chelostoma florisomne",9.05096,47.0522
"Chelostoma florisomne",10.34427,46.62167
"Chelostoma florisomne",8.32049,46.65533
"Chelostoma florisomne",8.76991,46.33607
"Chelostoma florisomne",8.05409,46.20728
"Chelostoma florisomne",8.32714,47.06009
"Chelostoma florisomne",8.59815,47.41749
"Chelostoma florisomne",7.14394,46.79328
