"Species","Longitude","Latitude"
"Colletes daviesanus",8.63708,46.2026
"Colletes daviesanus",8.60109,47.55239
"Colletes daviesanus",8.06811,47.42159
"Colletes daviesanus",6.62414,46.52087
"Colletes daviesanus",7.66746,46.70348
"Colletes daviesanus",8.59815,47.41749
"Colletes daviesanus",8.46478,47.37378
"Colletes daviesanus",6.94748,46.7926
"Colletes daviesanus",7.6047,47.5581
"Colletes daviesanus",8.26829,47.51028
"Colletes daviesanus",6.11068,46.20113
"Colletes daviesanus",8.59717,47.37253
"Colletes daviesanus",8.53006,47.32821
"Colletes daviesanus",8.19807,47.24092
"Colletes daviesanus",8.53098,47.37317
"Colletes daviesanus",7.14019,47.46789
"Colletes daviesanus",7.86044,46.29813
"Colletes daviesanus",8.26759,47.46531
"Colletes daviesanus",7.99902,47.15211
"Colletes daviesanus",7.47101,46.16397
"Colletes daviesanus",7.73631,47.33298
"Colletes daviesanus",8.13262,47.28631
"Colletes daviesanus",8.60011,47.50742
"Colletes daviesanus",7.99996,47.24205
"Colletes daviesanus",8.53747,47.68793
"Colletes daviesanus",7.01189,46.9278
"Colletes daviesanus",7.07724,46.973
"Colletes daviesanus",7.40575,47.01854
"Colletes daviesanus",7.34015,46.92855
"Colletes daviesanus",7.80185,47.24285
"Colletes daviesanus",8.32714,47.06009
"Colletes daviesanus",9.54888,46.32423
"Colletes daviesanus",8.60208,47.59735
"Colletes daviesanus",8.5319,47.41814
"Colletes daviesanus",8.53468,47.55304
"Colletes daviesanus",8.69013,46.25601
"Colletes daviesanus",9.63376,46.81757
"Colletes daviesanus",8.60307,47.64231
"Colletes daviesanus",8.82679,46.02049
"Colletes daviesanus",8.99956,47.54771
"Colletes daviesanus",7.53703,46.88358
"Colletes daviesanus",7.3399,47.06348
"Colletes daviesanus",9.20176,47.63476
"Colletes daviesanus",7.7309,46.34351
"Colletes daviesanus",9.51143,47.04481
"Colletes daviesanus",8.46392,47.32881
"Colletes daviesanus",7.86752,47.19765
"Colletes daviesanus",8.46565,47.41875
"Colletes daviesanus",7.34024,46.88358
"Colletes daviesanus",8.96342,46.28864
"Colletes daviesanus",8.57606,46.38317
"Colletes daviesanus",6.04591,46.20035
"Colletes daviesanus",8.47088,47.68854
"Colletes daviesanus",7.40625,46.20895
"Colletes daviesanus",10.35397,46.80145
"Colletes daviesanus",8.00138,47.37697
"Colletes daviesanus",9.43494,46.75823
"Colletes daviesanus",7.86079,46.3431
"Colletes daviesanus",8.93316,47.54858
"Colletes daviesanus",7.66957,47.19821
"Colletes daviesanus",7.60074,46.25382
"Colletes daviesanus",8.19871,47.28589
"Colletes daviesanus",9.22731,46.41975
"Colletes daviesanus",9.5045,46.86497
"Colletes daviesanus",7.47157,47.10849
"Colletes daviesanus",8.60405,47.68728
"Colletes daviesanus",9.02566,46.19781
"Colletes daviesanus",8.74135,46.22844
"Colletes daviesanus",7.86861,47.33256
"Colletes daviesanus",7.20904,46.88339
"Colletes daviesanus",7.0172,46.25314
"Colletes daviesanus",7.87042,47.55741
"Colletes daviesanus",8.46826,47.55364
"Colletes daviesanus",8.67169,47.73155
"Colletes daviesanus",7.27436,46.97345
"Colletes daviesanus",7.86716,47.15267
"Colletes daviesanus",8.26133,47.06058
"Colletes daviesanus",8.65341,47.51587
"Colletes daviesanus",7.86897,47.37753
"Colletes daviesanus",8.76661,46.20116
"Colletes daviesanus",7.07663,47.06295
"Colletes daviesanus",7.07754,46.92802
"Colletes daviesanus",7.47162,47.19844
"Colletes daviesanus",8.46133,47.19391
"Colletes daviesanus",6.81442,46.97186
"Colletes daviesanus",7.89907,46.26199
"Colletes daviesanus",8.40102,47.50925
"Colletes daviesanus",6.04706,46.15538
"Colletes daviesanus",8.80381,47.6851
"Colletes daviesanus",7.14394,46.79328
"Colletes daviesanus",8.73064,47.41609
"Colletes daviesanus",7.86788,47.24262
"Colletes daviesanus",7.80307,47.42273
"Colletes daviesanus",7.60087,46.29879
"Colletes daviesanus",8.77433,46.51596
"Colletes daviesanus",7.27395,47.10838
"Colletes daviesanus",9.43727,46.82117
"Colletes daviesanus",8.67273,47.77651
"Colletes daviesanus",7.93517,47.37727
"Colletes daviesanus",7.93392,47.24236
"Colletes daviesanus",8.99824,47.50275
"Colletes daviesanus",9.1566,46.24089
"Colletes daviesanus",9.57183,46.90873
"Colletes daviesanus",7.20943,46.79343
"Colletes daviesanus",8.89494,46.15459
"Colletes daviesanus",9.30627,46.82339
"Colletes daviesanus",7.80369,47.51267
"Colletes daviesanus",7.40628,46.16397
"Colletes daviesanus",7.01225,46.88282
"Colletes daviesanus",7.80063,47.06295
"Colletes daviesanus",8.6696,47.64163
"Colletes daviesanus",7.47146,46.92859
"Colletes daviesanus",9.22435,46.32982
"Colletes daviesanus",6.88199,46.7923
"Colletes daviesanus",7.33931,47.37829
"Colletes daviesanus",8.66543,47.46178
"Colletes daviesanus",7.93434,47.28733
"Colletes daviesanus",7.27408,47.0634
"Colletes daviesanus",7.93643,47.51218
"Colletes daviesanus",6.81599,46.83694
"Colletes daviesanus",8.73283,47.50602
"Colletes daviesanus",8.66855,47.59667
"Colletes daviesanus",7.53769,47.24338
"Colletes daviesanus",6.88012,46.9722
"Colletes daviesanus",7.93309,47.15241
"Colletes daviesanus",8.46913,47.59861
"Colletes daviesanus",7.14369,46.83826
"Colletes daviesanus",8.829085,46.11043
"Colletes daviesanus",7.804003,47.557638
"Colletes daviesanus",8.218394,47.47712
"Colletes daviesanus",6.81494,46.92689
"Colletes daviesanus",8.416196,47.689823
