"Species","Longitude","Latitude"
"Eucera longicornis",6.64152,46.577795
"Eucera longicornis",8.707142,47.2573
"Eucera longicornis",8.86796,47.59438
"Eucera longicornis",6.49305,46.56484
"Eucera longicornis",9.30627,46.82339
"Eucera longicornis",7.93476,47.3323
"Eucera longicornis",7.5376,47.1984
"Eucera longicornis",8.77433,46.51596
"Eucera longicornis",9.57183,46.90873
"Eucera longicornis",7.47099,46.11899
"Eucera longicornis",9.15802,46.28585
"Eucera longicornis",8.26549,47.3304
"Eucera longicornis",8.80149,47.59518
"Eucera longicornis",7.86752,47.19765
"Eucera longicornis",8.05511,46.29723
"Eucera longicornis",7.8636,46.70292
"Eucera longicornis",7.66577,46.29868
"Eucera longicornis",7.21246,46.07379
"Eucera longicornis",8.46826,47.55364
"Eucera longicornis",8.00091,47.332
"Eucera longicornis",7.73456,47.01817
"Eucera longicornis",7.86897,47.37753
"Eucera longicornis",8.85834,47.23467
"Eucera longicornis",7.80002,46.973
"Eucera longicornis",7.86861,47.33256
"Eucera longicornis",8.05409,46.20728
"Eucera longicornis",8.85953,47.27964
"Eucera longicornis",8.06652,47.28668
"Eucera longicornis",8.93442,47.59354
"Eucera longicornis",7.0165,46.3431
"Eucera longicornis",8.6521,46.87719
"Eucera longicornis",8.46133,47.19391
"Eucera longicornis",8.39135,46.96962
"Eucera longicornis",7.87042,47.55741
"Eucera longicornis",9.50623,46.90993
"Eucera longicornis",7.99761,47.01719
"Eucera longicornis",7.47146,46.92859
"Eucera longicornis",7.7309,46.34351
"Eucera longicornis",7.20788,47.15324
"Eucera longicornis",7.08292,46.11843
"Eucera longicornis",7.40589,46.79366
"Eucera longicornis",8.26271,47.15052
"Eucera longicornis",9.69361,46.68141
"Eucera longicornis",7.73531,47.15309
"Eucera longicornis",7.80276,47.37776
"Eucera longicornis",7.80215,47.28782
"Eucera longicornis",7.79555,46.29835
"Eucera longicornis",8.00185,47.42194
"Eucera longicornis",7.93517,47.37727
"Eucera longicornis",7.86009,46.25315
"Eucera longicornis",9.43561,46.77621
"Eucera longicornis",9.5045,46.86497
"Eucera longicornis",10.35397,46.80145
"Eucera longicornis",9.18546,47.14021
"Eucera longicornis",7.40569,47.10849
"Eucera longicornis",7.86044,46.29813
"Eucera longicornis",7.99068,46.34255
"Eucera longicornis",8.84297,46.65008
"Eucera longicornis",6.75102,46.79159
"Eucera longicornis",7.53703,46.88358
"Eucera longicornis",7.67016,47.33313
"Eucera longicornis",8.99037,47.23297
"Eucera longicornis",8.05562,46.34221
"Eucera longicornis",8.52548,47.10336
"Eucera longicornis",7.20807,47.10826
"Eucera longicornis",6.04591,46.20035
"Eucera longicornis",7.60359,47.19833
"Eucera longicornis",9.10834,46.78147
"Eucera longicornis",7.60087,46.29879
"Eucera longicornis",8.12112,46.38682
"Eucera longicornis",8.76991,46.33607
"Eucera longicornis",8.83715,46.42523
"Eucera longicornis",9.23926,46.77948
"Eucera longicornis",7.66595,46.34366
"Eucera longicornis",7.14736,46.1636
"Eucera longicornis",8.57418,46.29322
"Eucera longicornis",7.33931,47.37829
"Eucera longicornis",7.07663,47.06295
"Eucera longicornis",7.86788,47.24262
"Eucera longicornis",7.0172,46.25314
"Eucera longicornis",9.61558,46.36796
"Eucera longicornis",7.34139,46.25389
"Eucera longicornis",8.85714,47.18971
"Eucera longicornis",9.58983,47.3583
"Eucera longicornis",9.03224,46.42266
"Eucera longicornis",7.60373,47.2433
"Eucera longicornis",7.79644,46.43328
"Eucera longicornis",7.14394,46.79328
"Eucera longicornis",7.86825,47.28759
"Eucera longicornis",6.68491,46.83615
"Eucera longicornis",8.93569,47.6385
"Eucera longicornis",7.93185,47.01749
"Eucera longicornis",8.39056,46.92464
"Eucera longicornis",7.92493,46.25289
"Eucera longicornis",8.20192,47.51073
"Eucera longicornis",8.99956,47.54771
"Eucera longicornis",7.73631,47.33298
"Eucera longicornis",7.80185,47.24285
"Eucera longicornis",6.88615,46.38751
"Eucera longicornis",7.08055,46.47825
"Eucera longicornis",7.07724,46.973
"Eucera longicornis",9.23775,46.73451
"Eucera longicornis",7.92533,46.29787
"Eucera longicornis",7.1422,47.10811
"Eucera longicornis",7.47162,47.19844
"Eucera longicornis",7.47165,47.24341
"Eucera longicornis",8.77878,46.69584
"Eucera longicornis",8.11887,46.20691
"Eucera longicornis",9.12381,47.27608
"Eucera longicornis",10.47473,46.61826
"Eucera longicornis",8.89614,46.19956
"Eucera longicornis",7.2745,46.92848
"Eucera longicornis",6.42868,46.5193
"Eucera longicornis",7.21076,46.47859
"Eucera longicornis",7.43217,46.20895
"Eucera longicornis",6.49068,46.69976
"Eucera longicornis",9.22435,46.32982
"Eucera longicornis",8.7008,46.15693
"Eucera longicornis",8.92435,47.23384
"Eucera longicornis",8.25246,46.47591
"Eucera longicornis",7.80124,47.1529
"Eucera longicornis",7.20865,46.97334
"Eucera longicornis",7.80033,47.01798
"Eucera longicornis",8.40102,47.50925
"Eucera longicornis",10.35641,46.8464
"Eucera longicornis",8.9034,46.46938
"Eucera longicornis",6.29839,46.51807
"Eucera longicornis",9.01784,45.928
"Eucera longicornis",10.42191,46.84471
"Eucera longicornis",8.33541,47.55475
"Eucera longicornis",8.72847,47.32616
"Eucera longicornis",10.13062,46.26688
"Eucera longicornis",7.93559,47.42224
"Eucera longicornis",7.08321,46.07346
"Eucera longicornis",7.93309,47.15241
"Eucera longicornis",7.3399,47.06348
"Eucera longicornis",9.22731,46.41975
"Eucera longicornis",7.53695,46.8386
"Eucera longicornis",8.73502,47.59594
"Eucera longicornis",8.93316,47.54858
"Eucera longicornis",8.13029,47.10642
"Eucera longicornis",8.32714,47.06009
"Eucera longicornis",8.05613,46.38719
"Eucera longicornis",7.53769,47.24338
"Eucera longicornis",7.53662,46.65869
"Eucera longicornis",8.90583,46.55932
"Eucera longicornis",7.27505,46.74857
"Eucera longicornis",8.53098,47.37317
"Eucera longicornis",8.32417,46.8802
"Eucera longicornis",8.00043,47.28702
"Eucera longicornis",7.14019,47.46789
"Eucera longicornis",8.39778,47.32938
"Eucera longicornis",9.54888,46.32423
"Eucera longicornis",7.01081,47.06272
"Eucera longicornis",8.63906,46.29255
"Eucera longicornis",7.87006,47.51244
"Eucera longicornis",9.43727,46.82117
"Eucera longicornis",7.73606,47.28801
"Eucera longicornis",7.01403,46.65794
"Eucera longicornis",7.40578,46.97357
"Eucera longicornis",9.06873,47.63671
"Eucera longicornis",6.88059,46.92723
"Eucera longicornis",7.20962,46.74846
"Eucera longicornis",8.3264,47.01512
"Eucera longicornis",6.95074,46.43279
"Eucera longicornis",9.51911,47.24263
"Eucera longicornis",7.79584,46.34333
"Eucera longicornis",7.07418,47.42273
"Eucera longicornis",8.39616,47.23944
"Eucera longicornis",8.46305,47.28384
"Eucera longicornis",7.20827,47.06329
"Eucera longicornis",9.02724,46.25178
"Eucera longicornis",7.47141,46.83864
"Eucera longicornis",8.71555,46.78653
"Eucera longicornis",9.43894,46.86614
"Eucera longicornis",8.9231,47.18888
"Eucera longicornis",8.58652,46.87787
"Eucera longicornis",7.40581,46.92859
"Eucera longicornis",6.81442,46.97186
"Eucera longicornis",8.91442,46.87411
"Eucera longicornis",8.19299,46.88114
"Eucera longicornis",8.90462,46.51435
"Eucera longicornis",7.80307,47.42273
"Eucera longicornis",7.34147,46.20891
"Eucera longicornis",6.23324,46.51739
"Eucera longicornis",10.34427,46.62167
"Eucera longicornis",8.3339,47.46482
"Eucera longicornis",8.79232,47.23547
"Eucera longicornis",7.67035,47.3781
"Eucera longicornis",8.85476,47.09977
"Eucera longicornis",9.49762,46.68512
"Eucera longicornis",8.89494,46.15459
"Eucera longicornis",8.39455,47.1495
