"Species","Longitude","Latitude"
"Halictus scabiosae",8.7148,47.359507
"Halictus scabiosae",8.559525,47.358389
"Halictus scabiosae",8.4666,47.4323
"Halictus scabiosae",8.540492,47.419278
"Halictus scabiosae",7.702738,47.196208
"Halictus scabiosae",8.497075,47.385028
"Halictus scabiosae",9.137164,47.442325
"Halictus scabiosae",7.99577,47.143622
"Halictus scabiosae",7.54132,47.549008
"Halictus scabiosae",8.116714,46.386794
"Halictus scabiosae",6.012958,46.187317
"Halictus scabiosae",6.030782,46.150432
"Halictus scabiosae",6.582832,46.521252
"Halictus scabiosae",7.181255,47.106536
"Halictus scabiosae",8.41865,47.389572
"Halictus scabiosae",6.622333,46.514207
"Halictus scabiosae",8.39425,47.189367
"Halictus scabiosae",6.987557,46.854185
"Halictus scabiosae",8.776953,47.111972
"Halictus scabiosae",7.596312,47.566797
"Halictus scabiosae",9.8841,46.869319
"Halictus scabiosae",7.113974,46.143731
"Halictus scabiosae",9.443333,46.831119
"Halictus scabiosae",7.084367,46.890143
"Halictus scabiosae",8.652745,47.40583
"Halictus scabiosae",8.453879,47.694854
"Halictus scabiosae",8.464821,47.221667
"Halictus scabiosae",6.703046,46.51451
"Halictus scabiosae",7.30263,47.111581
"Halictus scabiosae",8.179772,47.37998
"Halictus scabiosae",7.945029,47.391419
"Halictus scabiosae",8.94848,45.880524
"Halictus scabiosae",7.543912,47.503308
"Halictus scabiosae",7.425275,47.283506
"Halictus scabiosae",6.899558,46.468105
"Halictus scabiosae",7.532291,47.208835
"Halictus scabiosae",7.126467,46.997522
"Halictus scabiosae",7.590704,47.50094
"Halictus scabiosae",8.582371,47.321105
"Halictus scabiosae",7.601283,47.092453
"Halictus scabiosae",6.120173,46.174678
"Halictus scabiosae",8.287403,47.34682
"Halictus scabiosae",7.63608,46.315072
"Halictus scabiosae",8.653152,47.72149
"Halictus scabiosae",7.336607,47.371975
"Halictus scabiosae",6.157017,46.199
"Halictus scabiosae",6.950642,46.999991
"Halictus scabiosae",9.691261,46.678003
"Halictus scabiosae",8.437815,47.335724
"Halictus scabiosae",8.582299,47.352474
"Halictus scabiosae",8.000851,47.397191
"Halictus scabiosae",7.738574,46.320215
"Halictus scabiosae",7.242504,47.139173
"Halictus scabiosae",6.117469,46.125927
"Halictus scabiosae",7.845098,46.678552
"Halictus scabiosae",8.413536,47.401379
"Halictus scabiosae",8.786869,47.637235
"Halictus scabiosae",7.678963,47.318867
"Halictus scabiosae",7.623977,47.194731
"Halictus scabiosae",8.348285,47.272554
"Halictus scabiosae",7.728962,47.538025
"Halictus scabiosae",7.300089,47.187674
"Halictus scabiosae",7.122776,46.468597
"Halictus scabiosae",7.295526,46.180776
"Halictus scabiosae",7.611159,47.472355
"Halictus scabiosae",7.198017,46.850747
"Halictus scabiosae",7.65146,47.577309
"Halictus scabiosae",7.598256,46.739395
"Halictus scabiosae",8.795392,47.265403
"Halictus scabiosae",7.451508,46.974277
"Halictus scabiosae",7.696513,47.53125
"Halictus scabiosae",8.408559,47.504192
"Halictus scabiosae",7.038192,47.020878
"Halictus scabiosae",7.192995,46.97495
"Halictus scabiosae",6.254037,46.226229
"Halictus scabiosae",8.477812,47.501307
"Halictus scabiosae",8.751524,47.505821
"Halictus scabiosae",8.526232,47.347082
"Halictus scabiosae",7.85833,47.394186
"Halictus scabiosae",6.129157,46.230903
"Halictus scabiosae",7.110731,46.808678
"Halictus scabiosae",7.403932,47.152253
"Halictus scabiosae",7.055173,46.520726
"Halictus scabiosae",6.124412,46.188305
"Halictus scabiosae",7.91858,47.522799
"Halictus scabiosae",8.560525,47.295106
"Halictus scabiosae",6.186111,46.002153
"Halictus scabiosae",7.434565,46.937163
"Halictus scabiosae",8.741439,47.538553
"Halictus scabiosae",8.085831,47.057166
"Halictus scabiosae",7.319922,46.253547
"Halictus scabiosae",7.339226,47.188975
"Halictus scabiosae",9.366678,47.413944
"Halictus scabiosae",7.4599,46.4373
"Halictus scabiosae",7.104303,47.000982
"Halictus scabiosae",9.514195,46.870267
"Halictus scabiosae",7.111348,46.809128
"Halictus scabiosae",7.93476,47.3323
"Halictus scabiosae",6.36443,46.47373
"Halictus scabiosae",8.53561,47.598
"Halictus scabiosae",7.80399,47.55764
"Halictus scabiosae",9.57183,46.90873
"Halictus scabiosae",7.80246,47.33279
"Halictus scabiosae",7.47109,46.29891
"Halictus scabiosae",8.80497,47.73006
"Halictus scabiosae",6.36353,46.5187
"Halictus scabiosae",8.80149,47.59518
"Halictus scabiosae",8.46826,47.55364
"Halictus scabiosae",7.07754,46.92802
"Halictus scabiosae",8.13379,47.37625
"Halictus scabiosae",7.73606,47.28801
"Halictus scabiosae",7.47141,46.83864
"Halictus scabiosae",6.42616,46.65422
"Halictus scabiosae",6.49147,46.65479
"Halictus scabiosae",7.08055,46.47825
"Halictus scabiosae",7.92533,46.29787
"Halictus scabiosae",8.60504,47.73224
"Halictus scabiosae",8.89015,45.97471
"Halictus scabiosae",7.07479,47.33278
"Halictus scabiosae",8.3264,47.01512
"Halictus scabiosae",7.07418,47.42273
"Halictus scabiosae",8.59815,47.41749
"Halictus scabiosae",8.33541,47.55475
"Halictus scabiosae",8.26133,47.06058
"Halictus scabiosae",8.53468,47.55304
"Halictus scabiosae",7.07724,46.973
"Halictus scabiosae",8.32714,47.06009
"Halictus scabiosae",8.26899,47.55524
"Halictus scabiosae",7.86861,47.33256
"Halictus scabiosae",8.6521,46.87719
"Halictus scabiosae",8.60011,47.50742
"Halictus scabiosae",8.19871,47.28589
"Halictus scabiosae",7.14369,46.83826
"Halictus scabiosae",7.33982,47.10845
"Halictus scabiosae",7.60387,47.28827
"Halictus scabiosae",7.66595,46.34366
"Halictus scabiosae",8.13496,47.46618
"Halictus scabiosae",8.20127,47.46577
"Halictus scabiosae",6.618,46.92565
"Halictus scabiosae",7.47162,47.19844
"Halictus scabiosae",6.88292,46.70235
"Halictus scabiosae",8.9231,47.18888
"Halictus scabiosae",7.34015,46.92855
"Halictus scabiosae",8.85714,47.18971
