"Species","Longitude","Latitude"
"Lasioglossum calceatum",7.34179,46.029
"Lasioglossum calceatum",8.53561,47.598
"Lasioglossum calceatum",9.43561,46.77621
"Lasioglossum calceatum",9.5045,46.86497
"Lasioglossum calceatum",8.59717,47.37253
"Lasioglossum calceatum",8.53098,47.37317
"Lasioglossum calceatum",6.23123,46.60734
"Lasioglossum calceatum",7.67016,47.33313
"Lasioglossum calceatum",7.01117,47.01775
"Lasioglossum calceatum",8.60504,47.73224
"Lasioglossum calceatum",8.60208,47.59735
"Lasioglossum calceatum",9.01525,45.83807
"Lasioglossum calceatum",8.39616,47.23944
"Lasioglossum calceatum",7.87042,47.55741
"Lasioglossum calceatum",7.79584,46.34333
"Lasioglossum calceatum",9.62828,46.68269
"Lasioglossum calceatum",8.05511,46.29723
"Lasioglossum calceatum",8.52366,47.01342
"Lasioglossum calceatum",7.20865,46.97334
"Lasioglossum calceatum",7.47159,47.15347
"Lasioglossum calceatum",7.73631,47.33298
"Lasioglossum calceatum",8.00185,47.42194
"Lasioglossum calceatum",7.40566,47.15347
"Lasioglossum calceatum",7.93517,47.37727
"Lasioglossum calceatum",6.49068,46.69976
"Lasioglossum calceatum",7.80276,47.37776
"Lasioglossum calceatum",7.66938,47.15324
"Lasioglossum calceatum",7.66996,47.28816
"Lasioglossum calceatum",6.618,46.92565
"Lasioglossum calceatum",7.67094,47.51301
"Lasioglossum calceatum",6.88615,46.38751
"Lasioglossum calceatum",7.1422,47.10811
"Lasioglossum calceatum",9.31883,47.18309
"Lasioglossum calceatum",7.73656,47.37795
"Lasioglossum calceatum",6.68491,46.83615
"Lasioglossum calceatum",6.88477,46.52245
"Lasioglossum calceatum",6.23324,46.51739
"Lasioglossum calceatum",7.80215,47.28782
"Lasioglossum calceatum",7.99113,46.38752
"Lasioglossum calceatum",7.07724,46.973
"Lasioglossum calceatum",7.21246,46.07379
"Lasioglossum calceatum",8.06811,47.42159
"Lasioglossum calceatum",9.50796,46.95489
"Lasioglossum calceatum",7.47141,46.83864
"Lasioglossum calceatum",6.42616,46.65422
"Lasioglossum calceatum",8.80149,47.59518
"Lasioglossum calceatum",9.01655,45.88303
"Lasioglossum calceatum",8.53006,47.32821
"Lasioglossum calceatum",7.60373,47.2433
"Lasioglossum calceatum",7.93476,47.3323
"Lasioglossum calceatum",8.67169,47.73155
"Lasioglossum calceatum",9.02044,46.01794
"Lasioglossum calceatum",10.35397,46.80145
"Lasioglossum calceatum",9.1738,46.78049
"Lasioglossum calceatum",7.7309,46.34351
"Lasioglossum calceatum",7.80307,47.42273
"Lasioglossum calceatum",7.93309,47.15241
"Lasioglossum calceatum",7.73606,47.28801
"Lasioglossum calceatum",7.67055,47.42307
"Lasioglossum calceatum",7.604,47.33324
"Lasioglossum calceatum",7.86897,47.37753
"Lasioglossum calceatum",8.60604,47.7772
"Lasioglossum calceatum",7.6047,47.5581
"Lasioglossum calceatum",9.57362,46.95369
"Lasioglossum calceatum",8.06865,47.46656
"Lasioglossum calceatum",7.27436,46.97345
"Lasioglossum calceatum",6.88339,46.65738
"Lasioglossum calceatum",7.0165,46.3431
"Lasioglossum calceatum",9.22731,46.41975
"Lasioglossum calceatum",7.14736,46.1636
"Lasioglossum calceatum",7.5381,47.46823
"Lasioglossum calceatum",8.0618,46.88193
"Lasioglossum calceatum",7.99902,47.15211
"Lasioglossum calceatum",7.47176,47.4233
"Lasioglossum calceatum",7.99949,47.19708
"Lasioglossum calceatum",9.15802,46.28585
"Lasioglossum calceatum",8.5962,47.32756
"Lasioglossum calceatum",8.46478,47.37378
"Lasioglossum calceatum",7.47157,47.10849
"Lasioglossum calceatum",8.84414,46.69505
"Lasioglossum calceatum",8.69976,46.11195
"Lasioglossum calceatum",7.66595,46.34366
"Lasioglossum calceatum",8.59815,47.41749
"Lasioglossum calceatum",8.26549,47.3304
"Lasioglossum calceatum",8.5319,47.41814
"Lasioglossum calceatum",7.86861,47.33256
"Lasioglossum calceatum",8.60011,47.50742
"Lasioglossum calceatum",7.60456,47.51313
"Lasioglossum calceatum",8.26133,47.06058
"Lasioglossum calceatum",8.52184,46.92348
"Lasioglossum calceatum",8.67273,47.77651
"Lasioglossum calceatum",9.39299,47.40679
"Lasioglossum calceatum",7.14517,46.5684
"Lasioglossum calceatum",8.73283,47.50602
"Lasioglossum calceatum",8.13203,47.24133
"Lasioglossum calceatum",8.6613,47.28191
"Lasioglossum calceatum",7.14394,46.79328
"Lasioglossum calceatum",7.20788,47.15324
"Lasioglossum calceatum",9.17235,46.73552
"Lasioglossum calceatum",8.86796,47.59438
"Lasioglossum calceatum",9.51143,47.04481
"Lasioglossum calceatum",8.85834,47.23467
"Lasioglossum calceatum",7.60114,46.38875
"Lasioglossum calceatum",6.81703,46.74699
"Lasioglossum calceatum",6.48989,46.74473
"Lasioglossum calceatum",8.53468,47.55304
"Lasioglossum calceatum",9.23926,46.77948
"Lasioglossum calceatum",8.85476,47.09977
"Lasioglossum calceatum",8.6644,47.41681
"Lasioglossum calceatum",7.60387,47.28827
"Lasioglossum calceatum",7.93559,47.42224
"Lasioglossum calceatum",7.73531,47.15309
"Lasioglossum calceatum",7.20729,47.28816
"Lasioglossum calceatum",8.39135,46.96962
"Lasioglossum calceatum",7.80246,47.33279
"Lasioglossum calceatum",7.21019,46.61352
"Lasioglossum calceatum",8.98906,47.18801
"Lasioglossum calceatum",9.17961,46.96035
"Lasioglossum calceatum",8.65925,47.19198
"Lasioglossum calceatum",7.86044,46.29813
"Lasioglossum calceatum",8.93316,47.54858
"Lasioglossum calceatum",6.88106,46.88225
"Lasioglossum calceatum",7.66577,46.29868
"Lasioglossum calceatum",7.08262,46.16341
"Lasioglossum calceatum",8.5384,47.73289
"Lasioglossum calceatum",8.26759,47.46531
"Lasioglossum calceatum",7.73235,46.61338
"Lasioglossum calceatum",9.11253,46.91637
"Lasioglossum calceatum",7.08055,46.47825
"Lasioglossum calceatum",8.85714,47.18971
"Lasioglossum calceatum",7.60414,47.37822
"Lasioglossum calceatum",8.60405,47.68728
"Lasioglossum calceatum",8.13614,47.55612
"Lasioglossum calceatum",8.92686,47.32377
"Lasioglossum calceatum",9.10834,46.78147
"Lasioglossum calceatum",8.99299,47.3229
"Lasioglossum calceatum",9.81436,46.45397
"Lasioglossum calceatum",8.20256,47.5557
"Lasioglossum calceatum",8.89015,45.97471
"Lasioglossum calceatum",8.72413,47.14629
"Lasioglossum calceatum",8.32565,46.97014
"Lasioglossum calceatum",8.95589,46.01883
"Lasioglossum calceatum",8.7263,47.23623
"Lasioglossum calceatum",8.26064,47.01561
"Lasioglossum calceatum",7.01403,46.65794
"Lasioglossum calceatum",7.73681,47.42292
"Lasioglossum calceatum",8.46565,47.41875
"Lasioglossum calceatum",8.66543,47.46178
"Lasioglossum calceatum",7.66746,46.70348
"Lasioglossum calceatum",9.58983,47.3583
"Lasioglossum calceatum",7.53598,46.29887
"Lasioglossum calceatum",8.3994,47.41932
"Lasioglossum calceatum",7.66727,46.65851
"Lasioglossum calceatum",7.47165,47.24341
"Lasioglossum calceatum",7.40581,46.92859
"Lasioglossum calceatum",9.38151,47.09207
"Lasioglossum calceatum",6.81442,46.97186
"Lasioglossum calceatum",8.46133,47.19391
"Lasioglossum calceatum",7.86933,47.42251
"Lasioglossum calceatum",9.20176,47.63476
"Lasioglossum calceatum",7.20807,47.10826
"Lasioglossum calceatum",7.86716,47.15267
"Lasioglossum calceatum",6.74697,47.10641
"Lasioglossum calceatum",9.51317,47.08977
"Lasioglossum calceatum",7.21076,46.47859
"Lasioglossum calceatum",9.57183,46.90873
"Lasioglossum calceatum",7.53703,46.88358
"Lasioglossum calceatum",7.80124,47.1529
"Lasioglossum calceatum",8.66336,47.37185
"Lasioglossum calceatum",8.26271,47.15052
"Lasioglossum calceatum",9.16803,46.60062
"Lasioglossum calceatum",7.93643,47.51218
"Lasioglossum calceatum",9.54888,46.32423
"Lasioglossum calceatum",8.13087,47.15139
"Lasioglossum calceatum",8.32714,47.06009
"Lasioglossum calceatum",7.53662,46.65869
"Lasioglossum calceatum",9.11393,46.96133
"Lasioglossum calceatum",8.89614,46.19956
"Lasioglossum calceatum",8.7008,46.15693
"Lasioglossum calceatum",8.59913,47.46246
"Lasioglossum calceatum",7.93392,47.24236
"Lasioglossum calceatum",8.05921,46.65705
"Lasioglossum calceatum",7.80369,47.51267
"Lasioglossum calceatum",9.69925,46.81629
"Lasioglossum calceatum",8.59425,47.23763
"Lasioglossum calceatum",8.93442,47.59354
"Lasioglossum calceatum",8.77878,46.69584
"Lasioglossum calceatum",8.77433,46.51596
"Lasioglossum calceatum",7.80002,46.973
"Lasioglossum calceatum",8.92435,47.23384
"Lasioglossum calceatum",7.47149,46.97357
"Lasioglossum calceatum",6.81599,46.83694
"Lasioglossum calceatum",7.07663,47.06295
"Lasioglossum calceatum",8.7946,47.3254
"Lasioglossum calceatum",8.19299,46.88114
"Lasioglossum calceatum",7.01189,46.9278
"Lasioglossum calceatum",9.45751,47.36069
"Lasioglossum calceatum",7.07875,46.74812
"Lasioglossum calceatum",7.53687,46.79362
"Lasioglossum calceatum",8.79574,47.37037
"Lasioglossum calceatum",7.89907,46.26199
"Lasioglossum calceatum",7.01045,47.10769
"Lasioglossum calceatum",6.87965,47.01718
"Lasioglossum calceatum",7.40628,46.16397
"Lasioglossum calceatum",8.51823,46.74359
"Lasioglossum calceatum",8.33541,47.55475
"Lasioglossum calceatum",6.36443,46.47373
"Lasioglossum calceatum",9.18546,47.14021
"Lasioglossum calceatum",10.13062,46.26688
"Lasioglossum calceatum",6.75446,46.52173
"Lasioglossum calceatum",9.12381,47.27608
"Lasioglossum calceatum",8.3264,47.01512
"Lasioglossum calceatum",8.20127,47.46577
"Lasioglossum calceatum",8.83138,46.20038
"Lasioglossum calceatum",8.52639,47.14833
"Lasioglossum calceatum",6.62142,46.70077
"Lasioglossum calceatum",8.86554,47.50446
"Lasioglossum calceatum",8.6696,47.64163
"Lasioglossum calceatum",8.52457,47.05839
"Lasioglossum calceatum",6.29839,46.51807
"Lasioglossum calceatum",9.69361,46.68141
"Lasioglossum calceatum",6.62006,46.79072
"Lasioglossum calceatum",8.40102,47.50925
"Lasioglossum calceatum",9.51911,47.24263
"Lasioglossum calceatum",9.09315,46.28682
"Lasioglossum calceatum",8.82908,46.11043
"Lasioglossum calceatum",7.07418,47.42273
"Lasioglossum calceatum",8.5273,47.1933
"Lasioglossum calceatum",8.39056,46.92464
"Lasioglossum calceatum",8.00233,47.46691
"Lasioglossum calceatum",8.12625,46.7916
"Lasioglossum calceatum",7.14808,46.02867
"Lasioglossum calceatum",10.4095,46.61998
"Lasioglossum calceatum",7.60236,46.79355
"Lasioglossum calceatum",6.94375,47.19738
"Lasioglossum calceatum",6.4883,46.83468
"Lasioglossum calceatum",6.68554,46.79117
"Lasioglossum calceatum",8.13029,47.10642
"Lasioglossum calceatum",8.83947,46.51517
"Lasioglossum calceatum",7.66446,45.98384
"Lasioglossum calceatum",8.71555,46.78653
"Lasioglossum calceatum",6.49147,46.65479
"Lasioglossum calceatum",9.12951,47.45592
"Lasioglossum calceatum",9.83423,46.90353
"Lasioglossum calceatum",6.42531,46.6992
"Lasioglossum calceatum",9.00089,47.59267
"Lasioglossum calceatum",9.30005,46.64353
"Lasioglossum calceatum",7.40552,47.37833
"Lasioglossum calceatum",7.99761,47.01719
"Lasioglossum calceatum",9.76863,46.90489
"Lasioglossum calceatum",6.49226,46.60981
"Lasioglossum calceatum",6.88153,46.83728
"Lasioglossum calceatum",8.82679,46.02049
"Lasioglossum calceatum",7.73456,47.01817
"Lasioglossum calceatum",7.07541,47.24284
"Lasioglossum calceatum",9.25136,47.13919
"Lasioglossum calceatum",8.95216,45.88392
"Lasioglossum calceatum",7.60074,46.25382
"Lasioglossum calceatum",8.73502,47.59594
"Lasioglossum calceatum",7.27422,47.01843
"Lasioglossum calceatum",7.47151,47.01854
"Lasioglossum calceatum",9.36373,46.59748
"Lasioglossum calceatum",7.80185,47.24285
"Lasioglossum calceatum",7.80063,47.06295
"Lasioglossum calceatum",7.40575,47.01854
"Lasioglossum calceatum",6.55679,46.65531
"Lasioglossum calceatum",8.32049,46.65533
"Lasioglossum calceatum",6.48751,46.87965
"Lasioglossum calceatum",8.76552,46.15618
"Lasioglossum calceatum",7.80399,47.55764
"Lasioglossum calceatum",6.36264,46.56368
"Lasioglossum calceatum",8.00138,47.37697
"Lasioglossum calceatum",8.66855,47.59667
"Lasioglossum calceatum",7.20962,46.74846
"Lasioglossum calceatum",7.01153,46.97277
"Lasioglossum calceatum",6.94665,46.88256
"Lasioglossum calceatum",9.01784,45.928
"Lasioglossum calceatum",8.58652,46.87787
"Lasioglossum calceatum",7.2071,47.33313
"Lasioglossum calceatum",6.23524,46.42745
"Lasioglossum calceatum",7.40625,46.20895
"Lasioglossum calceatum",7.80033,47.01798
"Lasioglossum calceatum",8.58556,46.83289
