"Species","Longitude","Latitude"
"Megachile willughbiella",6.999156,46.304013
"Megachile willughbiella",7.641228,46.315777
"Megachile willughbiella",8.53006,47.32821
"Megachile willughbiella",7.92857,46.65768
"Megachile willughbiella",7.8636,46.70292
"Megachile willughbiella",7.08321,46.07346
"Megachile willughbiella",8.65414,46.96713
"Megachile willughbiella",8.60208,47.59735
"Megachile willughbiella",7.5359,46.25389
"Megachile willughbiella",8.91813,47.00901
"Megachile willughbiella",8.6644,47.41681
"Megachile willughbiella",8.63906,46.29255
"Megachile willughbiella",10.22074,46.75977
"Megachile willughbiella",6.94541,47.01748
"Megachile willughbiella",8.12112,46.38682
"Megachile willughbiella",8.19807,47.24092
"Megachile willughbiella",8.73502,47.59594
"Megachile willughbiella",6.62414,46.52087
"Megachile willughbiella",8.38976,46.87967
"Megachile willughbiella",8.6521,46.87719
"Megachile willughbiella",8.53098,47.37317
"Megachile willughbiella",8.59815,47.41749
"Megachile willughbiella",7.01189,46.9278
"Megachile willughbiella",8.5319,47.41814
"Megachile willughbiella",7.73606,47.28801
"Megachile willughbiella",6.49147,46.65479
"Megachile willughbiella",7.07875,46.74812
"Megachile willughbiella",8.46478,47.37378
"Megachile willughbiella",9.5045,46.86497
"Megachile willughbiella",9.23775,46.73451
"Megachile willughbiella",6.94583,46.97251
"Megachile willughbiella",7.80246,47.33279
"Megachile willughbiella",7.60087,46.29879
"Megachile willughbiella",7.01403,46.65794
"Megachile willughbiella",8.26759,47.46531
"Megachile willughbiella",7.66595,46.34366
"Megachile willughbiella",7.07724,46.973
"Megachile willughbiella",8.59717,47.37253
"Megachile willughbiella",8.63708,46.2026
"Megachile willughbiella",8.67169,47.73155
"Megachile willughbiella",7.33931,47.37829
"Megachile willughbiella",7.53598,46.29887
"Megachile willughbiella",8.65008,46.78725
"Megachile willughbiella",8.06758,47.37663
"Megachile willughbiella",7.67094,47.51301
"Megachile willughbiella",8.77878,46.69584
"Megachile willughbiella",7.8476,46.31617
