"Species","Longitude","Latitude"
"Osmia bicornis",7.62415,47.194559
"Osmia bicornis",7.426169,46.949147
"Osmia bicornis",8.408612,47.504162
"Osmia bicornis",9.539722,46.939666
"Osmia bicornis",6.251094,46.226544
"Osmia bicornis",8.033785,47.39561
"Osmia bicornis",8.399277,46.987997
"Osmia bicornis",6.703134,46.514532
"Osmia bicornis",8.582112,47.352566
"Osmia bicornis",7.585044,47.498075
"Osmia bicornis",8.427208,47.384363
"Osmia bicornis",8.455538,47.360508
"Osmia bicornis",7.541353,47.549039
"Osmia bicornis",7.59609,47.566806
"Osmia bicornis",8.687845,47.268875
"Osmia bicornis",6.846752,46.620634
"Osmia bicornis",6.576668,46.541617
"Osmia bicornis",8.582047,47.32095
"Osmia bicornis",6.628885,46.514841
"Osmia bicornis",7.183612,46.808296
"Osmia bicornis",8.551297,47.395767
"Osmia bicornis",8.502307,47.377186
"Osmia bicornis",8.348285,47.272554
"Osmia bicornis",8.499299,47.178191
"Osmia bicornis",6.070988,46.228393
"Osmia bicornis",7.684413,47.520416
"Osmia bicornis",6.64225,46.577928
"Osmia bicornis",6.843592,46.458497
"Osmia bicornis",8.443914,47.336981
"Osmia bicornis",7.449386,46.937861
"Osmia bicornis",7.512832,47.422273
"Osmia bicornis",8.71587,47.505245
"Osmia bicornis",6.63871,46.772636
"Osmia bicornis",8.738103,47.419291
"Osmia bicornis",8.304439,47.48185
"Osmia bicornis",7.598262,46.739388
"Osmia bicornis",6.836469,46.954441
"Osmia bicornis",6.878812,46.47615
"Osmia bicornis",9.470339,46.825328
"Osmia bicornis",7.847022,47.573852
"Osmia bicornis",8.322251,47.035294
"Osmia bicornis",7.899716,47.35305
"Osmia bicornis",8.794922,47.499247
"Osmia bicornis",9.364976,47.408315
"Osmia bicornis",7.44528,46.456309
"Osmia bicornis",9.228843,47.129562
"Osmia bicornis",8.50708,47.305155
"Osmia bicornis",9.623451,46.94367
"Osmia bicornis",8.041042,47.261392
"Osmia bicornis",6.158122,46.200738
"Osmia bicornis",8.541293,47.339555
"Osmia bicornis",9.291545,47.137795
"Osmia bicornis",7.403932,47.152253
"Osmia bicornis",8.575247,47.280533
"Osmia bicornis",9.276531,47.378599
"Osmia bicornis",7.607985,47.489918
"Osmia bicornis",7.988247,46.325042
"Osmia bicornis",6.120834,46.447185
"Osmia bicornis",7.430407,46.976238
"Osmia bicornis",8.8512,47.296115
"Osmia bicornis",7.198038,46.85076
"Osmia bicornis",6.912517,46.441912
"Osmia bicornis",7.521818,47.086135
"Osmia bicornis",7.715479,47.322407
"Osmia bicornis",8.735374,47.563002
"Osmia bicornis",8.529747,47.248945
"Osmia bicornis",9.118285,47.563468
"Osmia bicornis",6.89792,46.394403
"Osmia bicornis",6.899069,46.529698
"Osmia bicornis",6.915416,46.990835
"Osmia bicornis",6.696595,46.592316
"Osmia bicornis",7.14288,46.15491
"Osmia bicornis",8.470473,47.510419
"Osmia bicornis",8.639816,47.412682
"Osmia bicornis",8.179863,47.38006
"Osmia bicornis",8.70976,47.350285
"Osmia bicornis",7.281419,47.276557
"Osmia bicornis",8.471241,47.182964
"Osmia bicornis",7.449383,47.016972
"Osmia bicornis",8.85804,47.66036
"Osmia bicornis",6.557657,46.549089
"Osmia bicornis",8.470714,47.415638
"Osmia bicornis",8.198202,47.288734
"Osmia bicornis",7.535688,47.206475
"Osmia bicornis",8.622878,47.403129
"Osmia bicornis",8.309307,47.050168
"Osmia bicornis",7.444436,46.972711
"Osmia bicornis",7.65062,47.570095
"Osmia bicornis",7.215243,46.898227
"Osmia bicornis",9.064944,47.394609
"Osmia bicornis",8.777072,47.111972
"Osmia bicornis",7.916276,47.345654
"Osmia bicornis",7.248473,47.011057
"Osmia bicornis",9.30627,46.82339
"Osmia bicornis",7.86044,46.29813
"Osmia bicornis",8.00233,47.46691
"Osmia bicornis",7.67016,47.33313
"Osmia bicornis",8.99299,47.3229
"Osmia bicornis",8.25612,47.58232
"Osmia bicornis",9.20026,47.58981
"Osmia bicornis",6.75446,46.52173
"Osmia bicornis",7.0165,46.3431
"Osmia bicornis",8.92937,47.4137
"Osmia bicornis",7.93517,47.37727
"Osmia bicornis",7.47157,47.10849
"Osmia bicornis",7.66595,46.34366
"Osmia bicornis",8.6572,47.10204
"Osmia bicornis",8.53561,47.598
"Osmia bicornis",6.94624,46.92753
"Osmia bicornis",9.62101,46.50285
"Osmia bicornis",7.79822,46.70315
"Osmia bicornis",7.99902,47.15211
"Osmia bicornis",9.01525,45.83807
"Osmia bicornis",9.06459,47.50183
"Osmia bicornis",8.60504,47.73224
"Osmia bicornis",8.53747,47.68793
"Osmia bicornis",8.60011,47.50742
"Osmia bicornis",9.20176,47.63476
"Osmia bicornis",9.12381,47.27608
"Osmia bicornis",6.81494,46.92689
"Osmia bicornis",8.86554,47.50446
"Osmia bicornis",7.73606,47.28801
"Osmia bicornis",8.59913,47.46246
"Osmia bicornis",8.12913,47.01647
"Osmia bicornis",6.88106,46.88225
"Osmia bicornis",7.87006,47.51244
"Osmia bicornis",7.08055,46.47825
"Osmia bicornis",7.79584,46.34333
"Osmia bicornis",8.60405,47.68728
"Osmia bicornis",7.86897,47.37753
"Osmia bicornis",6.23624,46.38248
"Osmia bicornis",8.20063,47.4208
"Osmia bicornis",7.01117,47.01775
"Osmia bicornis",8.20127,47.46577
"Osmia bicornis",7.80246,47.33279
"Osmia bicornis",8.6521,46.87719
"Osmia bicornis",8.39536,47.19447
"Osmia bicornis",7.80276,47.37776
"Osmia bicornis",8.58652,46.87787
"Osmia bicornis",7.21246,46.07379
"Osmia bicornis",9.01655,45.88303
"Osmia bicornis",7.08321,46.07346
"Osmia bicornis",7.66746,46.70348
"Osmia bicornis",8.26549,47.3304
"Osmia bicornis",9.11393,46.96133
"Osmia bicornis",8.13437,47.42122
"Osmia bicornis",7.01755,46.20816
"Osmia bicornis",7.53703,46.88358
"Osmia bicornis",7.14394,46.79328
"Osmia bicornis",8.60109,47.55239
"Osmia bicornis",7.27436,46.97345
"Osmia bicornis",5.98115,46.19953
"Osmia bicornis",8.60604,47.7772
"Osmia bicornis",8.26133,47.06058
"Osmia bicornis",8.66647,47.50674
"Osmia bicornis",7.40569,47.10849
"Osmia bicornis",8.33541,47.55475
"Osmia bicornis",8.05511,46.29723
"Osmia bicornis",6.87965,47.01718
"Osmia bicornis",6.81599,46.83694
"Osmia bicornis",7.14069,47.37795
"Osmia bicornis",7.07875,46.74812
"Osmia bicornis",8.7008,46.15693
"Osmia bicornis",8.00185,47.42194
"Osmia bicornis",7.92533,46.29787
"Osmia bicornis",10.47473,46.61826
"Osmia bicornis",8.67273,47.77651
"Osmia bicornis",7.01009,47.15267
"Osmia bicornis",9.50623,46.90993
"Osmia bicornis",7.34139,46.25389
"Osmia bicornis",8.93442,47.59354
"Osmia bicornis",8.84414,46.69505
"Osmia bicornis",8.00281,47.51187
"Osmia bicornis",8.46219,47.23888
"Osmia bicornis",9.17235,46.73552
