"Species","Longitude","Latitude"
"Osmia caerulescens",7.624,47.19446
"Osmia caerulescens",8.581636,47.3216
"Osmia caerulescens",7.074948,46.107312
"Osmia caerulescens",7.57767,47.539632
"Osmia caerulescens",6.194236,46.193085
"Osmia caerulescens",8.46565,47.41875
"Osmia caerulescens",9.5045,46.86497
"Osmia caerulescens",9.69361,46.68141
"Osmia caerulescens",7.07724,46.973
"Osmia caerulescens",8.00281,47.51187
"Osmia caerulescens",7.60087,46.29879
"Osmia caerulescens",8.53098,47.37317
"Osmia caerulescens",8.59328,47.19266
"Osmia caerulescens",7.85974,46.20817
"Osmia caerulescens",8.66027,47.23695
"Osmia caerulescens",8.3264,47.01512
"Osmia caerulescens",8.76661,46.20116
"Osmia caerulescens",8.5319,47.41814
"Osmia caerulescens",8.53006,47.32821
"Osmia caerulescens",9.50623,46.90993
"Osmia caerulescens",8.32714,47.06009
"Osmia caerulescens",8.93442,47.59354
"Osmia caerulescens",8.66855,47.59667
"Osmia caerulescens",7.20962,46.74846
"Osmia caerulescens",6.74987,46.88154
"Osmia caerulescens",8.59815,47.41749
"Osmia caerulescens",10.35641,46.8464
"Osmia caerulescens",8.19807,47.24092
"Osmia caerulescens",6.62414,46.52087
"Osmia caerulescens",8.73064,47.41609
"Osmia caerulescens",8.58652,46.87787
"Osmia caerulescens",7.66652,46.4786
"Osmia caerulescens",8.00185,47.42194
"Osmia caerulescens",8.80149,47.59518
"Osmia caerulescens",8.32565,46.97014
"Osmia caerulescens",6.75102,46.79159
"Osmia caerulescens",7.01153,46.97277
"Osmia caerulescens",9.38151,47.09207
"Osmia caerulescens",7.07418,47.42273
"Osmia caerulescens",6.04706,46.15538
"Osmia caerulescens",8.6521,46.87719
"Osmia caerulescens",6.94541,47.01748
"Osmia caerulescens",7.66746,46.70348
"Osmia caerulescens",7.60456,47.51313
"Osmia caerulescens",8.46133,47.19391
"Osmia caerulescens",8.12112,46.38682
"Osmia caerulescens",7.40623,46.25393
"Osmia caerulescens",8.26619,47.37537
"Osmia caerulescens",7.73656,47.37795
"Osmia caerulescens",6.81442,46.97186
"Osmia caerulescens",7.86861,47.33256
"Osmia caerulescens",9.18546,47.14021
"Osmia caerulescens",7.0165,46.3431
"Osmia caerulescens",7.47157,47.10849
"Osmia caerulescens",8.33541,47.55475
"Osmia caerulescens",8.26064,47.01561
"Osmia caerulescens",7.14394,46.79328
"Osmia caerulescens",9.43561,46.77621
"Osmia caerulescens",6.618,46.92565
"Osmia caerulescens",8.05613,46.38719
"Osmia caerulescens",8.20127,47.46577
"Osmia caerulescens",8.06811,47.42159
"Osmia caerulescens",8.86917,47.63934
"Osmia caerulescens",8.59522,47.28259
"Osmia caerulescens",8.85953,47.27964
