"Species","Longitude","Latitude"
"Osmia cornuta",7.143061,47.343952
"Osmia cornuta",8.582641,47.321312
"Osmia cornuta",7.075062,46.107222
"Osmia cornuta",6.703171,46.514769
"Osmia cornuta",7.680708,47.313853
"Osmia cornuta",8.639798,47.412636
"Osmia cornuta",7.580886,47.562014
"Osmia cornuta",7.590682,47.500932
"Osmia cornuta",7.197985,46.850779
"Osmia cornuta",6.112851,46.177031
"Osmia cornuta",8.559795,47.35853
"Osmia cornuta",9.46954,46.974694
"Osmia cornuta",7.541353,47.549039
"Osmia cornuta",7.62404,47.194605
"Osmia cornuta",8.437815,47.335724
"Osmia cornuta",6.573203,46.522247
"Osmia cornuta",6.070988,46.228393
"Osmia cornuta",6.834936,46.464351
"Osmia cornuta",8.763153,47.252793
"Osmia cornuta",6.149541,46.201403
"Osmia cornuta",6.945121,47.000071
"Osmia cornuta",6.78592,46.900613
"Osmia cornuta",6.081042,46.23743
"Osmia cornuta",7.642759,47.460018
"Osmia cornuta",7.901853,47.351777
"Osmia cornuta",8.678846,47.480028
"Osmia cornuta",9.061045,47.411528
"Osmia cornuta",7.686162,46.684138
"Osmia cornuta",7.858587,47.393881
"Osmia cornuta",7.366588,47.170694
"Osmia cornuta",8.500025,47.424992
"Osmia cornuta",7.43388,46.939588
"Osmia cornuta",7.870147,46.949588
"Osmia cornuta",6.127281,46.20534
"Osmia cornuta",9.444211,47.184952
"Osmia cornuta",8.72115,47.502865
"Osmia cornuta",8.941667,46.463333
"Osmia cornuta",8.45674,47.22424
"Osmia cornuta",6.639212,46.779587
"Osmia cornuta",7.157851,46.810221
"Osmia cornuta",8.489183,47.387586
"Osmia cornuta",6.15867,46.281503
"Osmia cornuta",8.033785,47.39561
"Osmia cornuta",8.438988,47.40851
"Osmia cornuta",7.216893,46.08055
"Osmia cornuta",6.842459,46.944706
"Osmia cornuta",6.850003,46.616667
"Osmia cornuta",6.14619,46.261276
"Osmia cornuta",8.857317,47.312553
"Osmia cornuta",8.568688,47.403893
"Osmia cornuta",6.901701,46.45856
"Osmia cornuta",7.702722,47.196228
"Osmia cornuta",8.93152,45.856132
"Osmia cornuta",6.977168,46.561451
"Osmia cornuta",8.707412,47.256983
"Osmia cornuta",7.869876,47.413443
"Osmia cornuta",6.921795,46.394273
"Osmia cornuta",7.905334,47.420177
"Osmia cornuta",7.52032,47.222345
"Osmia cornuta",7.608031,47.489979
"Osmia cornuta",8.899961,47.277077
"Osmia cornuta",8.195266,47.451441
"Osmia cornuta",8.680141,47.218128
"Osmia cornuta",9.470915,46.908023
"Osmia cornuta",8.680159,47.51303
"Osmia cornuta",9.035116,47.598643
"Osmia cornuta",7.5792,46.2132
"Osmia cornuta",8.697463,47.390397
"Osmia cornuta",6.545368,46.401154
"Osmia cornuta",6.901361,46.379363
"Osmia cornuta",8.51834,47.169836
"Osmia cornuta",8.269238,47.35178
"Osmia cornuta",9.17735,47.647958
"Osmia cornuta",8.227512,46.802676
"Osmia cornuta",6.637601,46.551837
"Osmia cornuta",9.482663,46.804956
"Osmia cornuta",7.467009,46.932264
"Osmia cornuta",8.102533,47.311729
"Osmia cornuta",6.567554,46.593329
"Osmia cornuta",8.027281,47.535381
"Osmia cornuta",8.999994,47.460487
"Osmia cornuta",8.241832,47.29465
"Osmia cornuta",8.777062,47.111992
"Osmia cornuta",9.420862,46.797541
"Osmia cornuta",9.11832,47.563515
"Osmia cornuta",7.140874,46.124668
"Osmia cornuta",7.403932,47.152253
"Osmia cornuta",7.256747,46.204694
"Osmia cornuta",6.577557,46.543456
"Osmia cornuta",8.107,47.574066
"Osmia cornuta",6.951939,46.822829
"Osmia cornuta",8.569557,47.383211
"Osmia cornuta",7.444852,46.972926
"Osmia cornuta",8.130451,47.4434
"Osmia cornuta",9.490658,47.12196
"Osmia cornuta",8.400348,46.988301
"Osmia cornuta",6.236489,46.232366
"Osmia cornuta",8.965767,46.068152
"Osmia cornuta",9.624156,46.943594
"Osmia cornuta",7.376945,47.276762
"Osmia cornuta",7.796163,47.208613
"Osmia cornuta",8.541243,47.315041
"Osmia cornuta",7.650587,47.570155
"Osmia cornuta",6.208208,46.210842
"Osmia cornuta",7.580327,47.259951
"Osmia cornuta",8.196487,47.288772
"Osmia cornuta",7.473166,47.392933
"Osmia cornuta",7.284473,47.1206
"Osmia cornuta",8.179975,47.380003
"Osmia cornuta",8.665519,47.589148
"Osmia cornuta",7.663542,47.582995
"Osmia cornuta",6.19525,46.399945
"Osmia cornuta",8.01476,46.350287
"Osmia cornuta",6.641248,46.52697
"Osmia cornuta",8.653303,47.380042
"Osmia cornuta",9.134697,47.43162
"Osmia cornuta",8.482655,47.27506
"Osmia cornuta",8.529703,47.248903
"Osmia cornuta",8.348285,47.272554
"Osmia cornuta",7.968399,47.512775
"Osmia cornuta",9.276524,47.378594
"Osmia cornuta",8.395494,47.1884
"Osmia cornuta",8.129051,47.464587
"Osmia cornuta",9.602329,47.451362
"Osmia cornuta",9.303965,47.384695
"Osmia cornuta",8.765088,47.480797
"Osmia cornuta",8.477692,47.500133
"Osmia cornuta",8.470825,47.460347
"Osmia cornuta",6.899067,46.529503
"Osmia cornuta",6.887724,46.450635
"Osmia cornuta",6.732713,46.49338
"Osmia cornuta",8.293547,47.193155
"Osmia cornuta",8.303782,47.20862
"Osmia cornuta",7.135777,46.973408
"Osmia cornuta",7.870686,47.348305
"Osmia cornuta",6.793973,46.821406
"Osmia cornuta",8.851459,47.295931
"Osmia cornuta",7.435169,46.975005
"Osmia cornuta",6.012979,46.1875
"Osmia cornuta",7.5376,47.1984
"Osmia cornuta",7.93517,47.37727
"Osmia cornuta",6.68491,46.83615
"Osmia cornuta",6.95236,46.25288
"Osmia cornuta",8.9584,46.10877
"Osmia cornuta",6.81442,46.97186
"Osmia cornuta",6.88059,46.92723
"Osmia cornuta",7.01755,46.20816
"Osmia cornuta",7.01153,46.97277
"Osmia cornuta",6.94375,47.19738
"Osmia cornuta",6.23424,46.47242
"Osmia cornuta",6.94583,46.97251
"Osmia cornuta",9.62828,46.68269
"Osmia cornuta",8.59913,47.46246
"Osmia cornuta",8.96342,46.28864
"Osmia cornuta",8.46047,47.14894
"Osmia cornuta",7.86044,46.29813
"Osmia cornuta",7.14736,46.1636
"Osmia cornuta",8.3264,47.01512
"Osmia cornuta",9.06956,47.66368
"Osmia cornuta",7.01117,47.01775
"Osmia cornuta",7.07724,46.973
"Osmia cornuta",7.60318,47.0634
"Osmia cornuta",6.36443,46.47373
"Osmia cornuta",8.95216,45.88392
"Osmia cornuta",9.57362,46.95369
"Osmia cornuta",7.27655,46.25381
"Osmia cornuta",8.60405,47.68728
"Osmia cornuta",7.66577,46.29868
"Osmia cornuta",6.62279,46.61082
"Osmia cornuta",6.04706,46.15538
"Osmia cornuta",8.5384,47.73289
"Osmia cornuta",7.86009,46.25315
"Osmia cornuta",8.7946,47.3254
"Osmia cornuta",7.53598,46.29887
"Osmia cornuta",6.95196,46.29786
"Osmia cornuta",9.30627,46.82339
"Osmia cornuta",7.2067,47.42307
"Osmia cornuta",8.76552,46.15618
"Osmia cornuta",8.95965,46.15373
"Osmia cornuta",7.14711,46.20857
"Osmia cornuta",9.06459,47.50183
"Osmia cornuta",8.86917,47.63934
"Osmia cornuta",7.66595,46.34366
"Osmia cornuta",9.43727,46.82117
"Osmia cornuta",8.19807,47.24092
"Osmia cornuta",9.53002,46.84651
"Osmia cornuta",8.76991,46.33607
"Osmia cornuta",7.66996,47.28816
"Osmia cornuta",8.47176,47.7335
"Osmia cornuta",7.01685,46.29812
"Osmia cornuta",9.03224,46.42266
"Osmia cornuta",7.7309,46.34351
"Osmia cornuta",7.40625,46.20895
"Osmia cornuta",7.34147,46.20891
"Osmia cornuta",10.13062,46.26688
"Osmia cornuta",9.32677,47.40789
"Osmia cornuta",8.3339,47.46482
"Osmia cornuta",7.87042,47.55741
"Osmia cornuta",7.14418,46.74831
"Osmia cornuta",8.46133,47.19391
"Osmia cornuta",7.40628,46.16397
"Osmia cornuta",8.32714,47.06009
"Osmia cornuta",7.27381,47.15335
"Osmia cornuta",7.40623,46.25393
"Osmia cornuta",7.34139,46.25389
"Osmia cornuta",7.3399,47.06348
"Osmia cornuta",8.7008,46.15693
"Osmia cornuta",8.83138,46.20038
"Osmia cornuta",7.20962,46.74846
"Osmia cornuta",6.88153,46.83728
"Osmia cornuta",9.23775,46.73451
"Osmia cornuta",6.87965,47.01718
"Osmia cornuta",7.20788,47.15324
"Osmia cornuta",7.73631,47.33298
"Osmia cornuta",6.94665,46.88256
"Osmia cornuta",9.1566,46.24089
"Osmia cornuta",7.21209,46.16375
"Osmia cornuta",6.61937,46.8357
"Osmia cornuta",9.05231,47.09717
"Osmia cornuta",7.14245,47.06314
"Osmia cornuta",7.47109,46.29891
"Osmia cornuta",8.89015,45.97471
"Osmia cornuta",7.79555,46.29835
"Osmia cornuta",6.49147,46.65479
"Osmia cornuta",7.40564,47.19844
"Osmia cornuta",8.26064,47.01561
"Osmia cornuta",7.1422,47.10811
"Osmia cornuta",9.51143,47.04481
"Osmia cornuta",7.0172,46.25314
"Osmia cornuta",7.79584,46.34333
"Osmia cornuta",7.60222,46.74857
"Osmia cornuta",6.88707,46.29756
"Osmia cornuta",8.69976,46.11195
"Osmia cornuta",8.80381,47.6851
"Osmia cornuta",8.83715,46.42523
"Osmia cornuta",8.60307,47.64231
"Osmia cornuta",8.59522,47.28259
"Osmia cornuta",8.93189,47.50362
"Osmia cornuta",7.67094,47.51301
"Osmia cornuta",6.68868,46.5663
"Osmia cornuta",8.60011,47.50742
"Osmia cornuta",8.76442,46.11121
"Osmia cornuta",6.88199,46.7923
"Osmia cornuta",8.66233,47.32688
"Osmia cornuta",7.33965,47.1984
"Osmia cornuta",6.618,46.92565
"Osmia cornuta",8.60208,47.59735
"Osmia cornuta",7.07663,47.06295
"Osmia cornuta",8.58748,46.92284
"Osmia cornuta",7.92533,46.29787
"Osmia cornuta",7.73066,46.29854
"Osmia cornuta",9.05775,47.27703
"Osmia cornuta",8.60504,47.73224
"Osmia cornuta",7.07754,46.92802
"Osmia cornuta",9.51317,47.08977
"Osmia cornuta",8.793456,47.280432
"Osmia cornuta",8.59554,47.56945
"Osmia cornuta",7.9486,47.281587
"Osmia cornuta",8.292264,47.491454
"Osmia cornuta",6.165248,46.352544
"Osmia cornuta",8.524931,47.299997
"Osmia cornuta",8.091685,47.360611
"Osmia cornuta",8.779747,47.46463
"Osmia cornuta",8.7664,47.503825
"Osmia cornuta",9.396061,46.822282
"Osmia cornuta",9.156445,47.643996
"Osmia cornuta",8.876399,47.549858
"Osmia cornuta",7.616125,47.394073
"Osmia cornuta",8.047675,47.404725
"Osmia cornuta",8.779019,47.366924
"Osmia cornuta",9.175556,47.660331
"Osmia cornuta",8.40015,47.40165
"Osmia cornuta",8.523,47.615222
"Osmia cornuta",9.206944,47.4985
"Osmia cornuta",7.272389,46.554389
"Osmia cornuta",8.849278,47.597306
"Osmia cornuta",9.39464,47.45174
"Osmia cornuta",8.40021,47.46428
"Osmia cornuta",8.024764,47.208
