"Species","Longitude","Latitude"
"Xylocopa violacea",8.581879,47.321252
"Xylocopa violacea",8.595599,47.490632
"Xylocopa violacea",9.56189,47.470977
"Xylocopa violacea",7.652558,47.317032
"Xylocopa violacea",6.703224,46.514607
"Xylocopa violacea",6.86353,46.978753
"Xylocopa violacea",6.57888,46.534717
"Xylocopa violacea",8.97589,45.97532
"Xylocopa violacea",9.548987,47.381233
"Xylocopa violacea",7.702917,47.196172
"Xylocopa violacea",8.024704,47.510224
"Xylocopa violacea",8.641413,47.67075
"Xylocopa violacea",7.596312,47.566797
"Xylocopa violacea",6.121739,46.447283
"Xylocopa violacea",6.846252,46.46215
"Xylocopa violacea",7.99909,46.326222
"Xylocopa violacea",8.61245,47.28507
"Xylocopa violacea",8.509898,47.309678
"Xylocopa violacea",8.831908,47.676852
"Xylocopa violacea",8.535198,47.356045
"Xylocopa violacea",8.394238,47.189413
"Xylocopa violacea",7.369287,46.56143
"Xylocopa violacea",7.337722,46.232855
"Xylocopa violacea",7.477644,46.859553
"Xylocopa violacea",7.624072,47.194527
"Xylocopa violacea",8.536326,47.280573
"Xylocopa violacea",7.444936,46.972809
"Xylocopa violacea",6.9399,46.999858
"Xylocopa violacea",6.614156,46.517948
"Xylocopa violacea",8.856001,47.661331
"Xylocopa violacea",8.855139,47.522481
"Xylocopa violacea",7.085242,46.127723
"Xylocopa violacea",8.707006,47.345831
"Xylocopa violacea",7.643275,46.321947
"Xylocopa violacea",8.708212,46.119051
"Xylocopa violacea",7.199757,46.904814
"Xylocopa violacea",8.784781,46.348881
"Xylocopa violacea",8.736487,46.132953
"Xylocopa violacea",8.954405,46.018783
"Xylocopa violacea",6.854943,46.474163
"Xylocopa violacea",6.846644,46.620703
"Xylocopa violacea",7.853412,47.147618
"Xylocopa violacea",7.757608,47.395797
"Xylocopa violacea",7.176603,46.853839
"Xylocopa violacea",6.964302,46.740492
"Xylocopa violacea",8.747746,46.224728
"Xylocopa violacea",7.156381,46.792888
"Xylocopa violacea",7.675021,46.313342
"Xylocopa violacea",7.43203,46.949128
"Xylocopa violacea",6.1288,46.219607
"Xylocopa violacea",7.783395,46.28611
"Xylocopa violacea",7.267892,47.158795
"Xylocopa violacea",7.968399,47.512775
"Xylocopa violacea",7.395891,47.192288
"Xylocopa violacea",6.253955,46.225303
"Xylocopa violacea",6.899972,46.396042
"Xylocopa violacea",8.799444,47.550867
"Xylocopa violacea",7.644363,47.593292
"Xylocopa violacea",7.31279,46.190902
"Xylocopa violacea",8.940556,46.463611
"Xylocopa violacea",6.975765,46.035613
"Xylocopa violacea",8.058131,46.7463
"Xylocopa violacea",7.804735,47.529074
"Xylocopa violacea",6.234905,46.277988
"Xylocopa violacea",9.006124,46.342378
"Xylocopa violacea",8.251697,47.075554
"Xylocopa violacea",6.697984,46.558343
"Xylocopa violacea",6.898884,46.525561
"Xylocopa violacea",6.156087,46.2795
"Xylocopa violacea",8.730284,47.509908
"Xylocopa violacea",8.033977,46.22043
"Xylocopa violacea",8.777303,47.620096
"Xylocopa violacea",6.07181,46.237154
"Xylocopa violacea",7.940845,47.591717
"Xylocopa violacea",8.892995,46.155998
"Xylocopa violacea",7.21209,46.16375
"Xylocopa violacea",8.89015,45.97471
"Xylocopa violacea",7.5376,47.1984
"Xylocopa violacea",7.93517,47.37727
"Xylocopa violacea",7.07724,46.973
"Xylocopa violacea",6.81494,46.92689
"Xylocopa violacea",6.55235,46.92516
"Xylocopa violacea",9.57362,46.95369
"Xylocopa violacea",9.01525,45.83807
"Xylocopa violacea",8.5384,47.73289
"Xylocopa violacea",7.53695,46.8386
"Xylocopa violacea",8.46133,47.19391
"Xylocopa violacea",7.93351,47.19738
"Xylocopa violacea",6.88059,46.92723
"Xylocopa violacea",8.59913,47.46246
"Xylocopa violacea",6.74987,46.88154
"Xylocopa violacea",6.75045,46.83656
"Xylocopa violacea",7.01117,47.01775
"Xylocopa violacea",7.7309,46.34351
"Xylocopa violacea",7.86044,46.29813
"Xylocopa violacea",7.86861,47.33256
"Xylocopa violacea",7.73606,47.28801
"Xylocopa violacea",7.01332,46.74789
"Xylocopa violacea",7.40558,47.28838
"Xylocopa violacea",8.66543,47.46178
"Xylocopa violacea",8.7008,46.15693
"Xylocopa violacea",8.39859,47.37435
"Xylocopa violacea",7.86897,47.37753
"Xylocopa violacea",7.86825,47.28759
"Xylocopa violacea",6.81442,46.97186
"Xylocopa violacea",8.85834,47.23467
"Xylocopa violacea",9.56827,46.81881
"Xylocopa violacea",8.46826,47.55364
"Xylocopa violacea",9.01655,45.88303
"Xylocopa violacea",8.33541,47.55475
"Xylocopa violacea",6.68491,46.83615
"Xylocopa violacea",7.8636,46.70292
"Xylocopa violacea",7.14736,46.1636
"Xylocopa violacea",8.6521,46.87719
"Xylocopa violacea",6.04591,46.20035
"Xylocopa violacea",7.47146,46.92859
"Xylocopa violacea",8.59717,47.37253
"Xylocopa violacea",7.20962,46.74846
"Xylocopa violacea",7.07754,46.92802
"Xylocopa violacea",7.73066,46.29854
"Xylocopa violacea",8.66481,46.28328
"Xylocopa violacea",6.81651,46.79196
"Xylocopa violacea",7.14019,47.46789
"Xylocopa violacea",7.0172,46.25314
"Xylocopa violacea",7.40623,46.25393
"Xylocopa violacea",7.20885,46.92836
"Xylocopa violacea",6.62006,46.79072
"Xylocopa violacea",8.5319,47.41814
"Xylocopa violacea",7.67074,47.46804
"Xylocopa violacea",7.01081,47.06272
"Xylocopa violacea",8.76552,46.15618
"Xylocopa violacea",6.49305,46.56484
"Xylocopa violacea",7.66746,46.70348
"Xylocopa violacea",9.54888,46.32423
"Xylocopa violacea",8.19807,47.24092
"Xylocopa violacea",8.57418,46.29322
"Xylocopa violacea",8.59815,47.41749
"Xylocopa violacea",7.07663,47.06295
"Xylocopa violacea",6.48989,46.74473
"Xylocopa violacea",8.13496,47.46618
"Xylocopa violacea",9.22435,46.32982
"Xylocopa violacea",8.93189,47.50362
"Xylocopa violacea",7.53819,47.5132
"Xylocopa violacea",7.99855,47.10714
"Xylocopa violacea",8.80149,47.59518
"Xylocopa violacea",7.2069,47.3781
"Xylocopa violacea",8.46565,47.41875
"Xylocopa violacea",7.33931,47.37829
"Xylocopa violacea",9.51143,47.04481
"Xylocopa violacea",7.1422,47.10811
"Xylocopa violacea",8.79574,47.37037
"Xylocopa violacea",6.30028,46.42812
"Xylocopa violacea",8.33088,47.28494
"Xylocopa violacea",8.79804,47.46029
"Xylocopa violacea",8.47088,47.68854
"Xylocopa violacea",7.47109,46.29891
"Xylocopa violacea",8.06811,47.42159
"Xylocopa violacea",6.23624,46.38248
"Xylocopa violacea",9.56118,46.63896
"Xylocopa violacea",8.76661,46.20116
"Xylocopa violacea",7.47151,47.01854
"Xylocopa violacea",6.1702,46.42674
"Xylocopa violacea",8.00138,47.37697
"Xylocopa violacea",7.3399,47.06348
"Xylocopa violacea",8.93569,47.6385
"Xylocopa violacea",7.47176,47.4233
"Xylocopa violacea",8.52639,47.14833
"Xylocopa violacea",7.87042,47.55741
"Xylocopa violacea",6.29933,46.47309
"Xylocopa violacea",7.53703,46.88358
"Xylocopa violacea",7.20807,47.10826
"Xylocopa violacea",9.02044,46.01794
"Xylocopa violacea",8.60405,47.68728
"Xylocopa violacea",8.60307,47.64231
"Xylocopa violacea",8.47176,47.7335
"Xylocopa violacea",7.80185,47.24285
"Xylocopa violacea",9.56295,46.68393
"Xylocopa violacea",6.87965,47.01718
"Xylocopa violacea",7.33948,47.28835
"Xylocopa violacea",7.0165,46.3431
"Xylocopa violacea",9.15802,46.28585
"Xylocopa violacea",7.01153,46.97277
"Xylocopa violacea",8.60109,47.55239
"Xylocopa violacea",7.07694,47.01797
"Xylocopa violacea",8.5789,46.51809
"Xylocopa violacea",7.60456,47.51313
"Xylocopa violacea",7.66957,47.19821
"Xylocopa violacea",8.53747,47.68793
"Xylocopa violacea",8.53468,47.55304
"Xylocopa violacea",8.6613,47.28191
"Xylocopa violacea",8.83138,46.20038
"Xylocopa violacea",6.88431,46.56742
"Xylocopa violacea",7.27478,46.83852
"Xylocopa violacea",9.22731,46.41975
"Xylocopa violacea",7.14245,47.06314
"Xylocopa violacea",7.1412,47.288
"Xylocopa violacea",8.32049,46.65533
"Xylocopa violacea",8.05562,46.34221
"Xylocopa violacea",6.04706,46.15538
"Xylocopa violacea",8.46047,47.14894
"Xylocopa violacea",7.66996,47.28816
"Xylocopa violacea",8.6644,47.41681
"Xylocopa violacea",6.29553,46.65299
"Xylocopa violacea",8.65008,46.78725
"Xylocopa violacea",6.88199,46.7923
"Xylocopa violacea",7.53566,46.11896
"Xylocopa violacea",7.27533,46.65862
"Xylocopa violacea",8.46219,47.23888
"Xylocopa violacea",7.40625,46.20895
"Xylocopa violacea",7.60387,47.28827
"Xylocopa violacea",6.88569,46.43249
"Xylocopa violacea",7.73581,47.24304
"Xylocopa violacea",8.60504,47.73224
"Xylocopa violacea",8.20127,47.46577
"Xylocopa violacea",7.07965,46.61319
"Xylocopa violacea",7.01189,46.9278
"Xylocopa violacea",7.66842,46.92837
"Xylocopa violacea",7.60208,46.7036
"Xylocopa violacea",7.01509,46.52301
"Xylocopa violacea",8.33163,47.32991
"Xylocopa violacea",7.86009,46.25315
"Xylocopa violacea",8.13614,47.55612
"Xylocopa violacea",6.36353,46.5187
"Xylocopa violacea",9.69925,46.81629
"Xylocopa violacea",8.13087,47.15139
"Xylocopa violacea",7.3663,47.00953
"Xylocopa violacea",7.53794,47.37829
"Xylocopa violacea",7.92533,46.29787
"Xylocopa violacea",7.27682,46.16386
"Xylocopa violacea",7.60222,46.74857
"Xylocopa violacea",8.46478,47.37378
"Xylocopa violacea",7.53598,46.29887
"Xylocopa violacea",6.61937,46.8357
"Xylocopa violacea",7.1476,46.11862
"Xylocopa violacea",9.5045,46.86497
"Xylocopa violacea",9.43228,46.68629
"Xylocopa violacea",5.98235,46.15456
"Xylocopa violacea",6.87918,47.06215
"Xylocopa violacea",8.82679,46.02049
"Xylocopa violacea",7.00755,47.46747
"Xylocopa violacea",6.945,47.06246
"Xylocopa violacea",9.59164,47.40325
"Xylocopa violacea",7.20788,47.15324
"Xylocopa violacea",8.83715,46.42523
"Xylocopa violacea",9.58983,47.3583
"Xylocopa violacea",8.39455,47.1495
"Xylocopa violacea",8.00185,47.42194
"Xylocopa violacea",8.60604,47.7772
"Xylocopa violacea",8.93316,47.54858
"Xylocopa violacea",7.40592,46.74868
"Xylocopa violacea",7.20827,47.06329
"Xylocopa violacea",8.53561,47.598
"Xylocopa violacea",5.98115,46.19953
"Xylocopa violacea",8.66855,47.59667
"Xylocopa violacea",7.86645,47.06273
"Xylocopa violacea",6.68554,46.79117
"Xylocopa violacea",8.19935,47.33086
"Xylocopa violacea",7.99949,47.19708
"Xylocopa violacea",8.80497,47.73006
