"species","taxonKey","raw","thinned","used","file"
"Bombus pascuorum","1340405",1990,905,TRUE,"Bombus_pascuorum.csv"
"Bombus pratorum","1340305",1284,771,TRUE,"Bombus_pratorum.csv"
"Lasioglossum calceatum","1354476",1031,726,TRUE,"Lasioglossum_calceatum.csv"
"Bombus lapidarius","1340301",1159,721,TRUE,"Bombus_lapidarius.csv"
"Bombus hortorum","1340542",973,660,TRUE,"Bombus_hortorum.csv"
"Bombus humilis","1340523",993,620,TRUE,"Bombus_humilis.csv"
"Bombus terrestris","1340503",961,586,TRUE,"Bombus_terrestris.csv"
"Bombus lucorum","1340298",811,571,TRUE,"Bombus_lucorum.csv"
"Osmia bicornis","5039315",839,488,TRUE,"Osmia_bicornis.csv"
"Andrena haemorrhoa","1356981",717,484,TRUE,"Andrena_haemorrhoa.csv"
"Chelostoma florisomne","1334527",646,472,TRUE,"Chelostoma_florisomne.csv"
"Bombus hypnorum","1340513",641,453,TRUE,"Bombus_hypnorum.csv"
"Halictus scabiosae","1353395",804,447,TRUE,"Halictus_scabiosae.csv"
"Megachile willughbiella","1335556",625,434,TRUE,"Megachile_willughbiella.csv"
"Andrena flavipes","1357156",567,412,TRUE,"Andrena_flavipes.csv"
"Anthidium manicatum","1334821",664,394,TRUE,"Anthidium_manicatum.csv"
"Xylocopa violacea","1342108",572,376,TRUE,"Xylocopa_violacea.csv"
"Anthophora plumipes","1344087",484,326,TRUE,"Anthophora_plumipes.csv"
"Bombus sylvarum","1340342",470,322,TRUE,"Bombus_sylvarum.csv"
"Osmia caerulescens","5039096",474,319,TRUE,"Osmia_caerulescens.csv"
"Andrena cineraria","1358088",435,303,TRUE,"Andrena_cineraria.csv"
"Eucera longicornis","1340884",382,299,TRUE,"Eucera_longicornis.csv"
"Osmia cornuta","5039293",620,279,TRUE,"Osmia_cornuta.csv"
"Bombus ruderarius","1340394",367,270,TRUE,"Bombus_ruderarius.csv"
"Andrena fulva","9805254",242,177,TRUE,"Andrena_fulva.csv"
"Colletes daviesanus","1348620",167,132,TRUE,"Colletes_daviesanus.csv"
