"SPECIES","nesting_suitability_cavity_index","nesting_suitability_ground_index","foraging_activity_spring_index","foraging_activity_summer_index","alpha","relative_abundance"
"Bombus_terrestris",0.1,1,1,0.9,800,0.648
"Bombus_lucorum",0.1,1,1,0.9,800,0.631
"Bombus_lapidarius",0.05,1,0.7,1,500,0.797
"Bombus_pascuorum",0.15,1,0.6,1,500,1
"Bombus_hortorum",0.1,1,0.8,1,700,0.729
"Bombus_pratorum",0.6,0.8,1,0.6,400,0.852
"Bombus_hypnorum",1,0.1,1,0.7,500,0.501
"Bombus_sylvarum",0.1,1,0.4,1,500,0.356
"Bombus_humilis",0.1,1,0.3,1,500,0.685
"Bombus_ruderarius",0.1,1,0.5,1,450,0.298
"Osmia_bicornis",1,0.05,1,0.2,250,0.539
"Osmia_cornuta",1,0.05,1,0.1,300,0.308
"Osmia_caerulescens",1,0.05,0.8,0.6,200,0.352
"Megachile_willughbiella",1,0.1,0.2,1,300,0.48
"Anthidium_manicatum",1,0.05,0.1,1,250,0.435
"Chelostoma_florisomne",1,0.05,0.7,0.8,150,0.522
"Andrena_flavipes",0.05,1,1,0.7,300,0.455
"Andrena_haemorrhoa",0.05,1,1,0.1,250,0.535
"Andrena_cineraria",0.05,1,1,0.05,250,0.335
"Andrena_fulva",0.05,1,1,0.05,200,0.196
"Halictus_scabiosae",0.05,1,0.6,1,200,0.494
"Lasioglossum_calceatum",0.05,1,0.7,1,150,0.802
"Anthophora_plumipes",0.2,1,1,0.1,400,0.36
"Xylocopa_violacea",1,0.05,0.8,1,800,0.415
"Colletes_daviesanus",0.1,1,0.1,1,200,0.146
"Eucera_longicornis",0.05,1,0.6,1,300,0.33
